un_044060_0010#0,"""シエラのお仕事って、何なの？"""
un_044060_0020#0,"""と、突然どうしたんですか、アルくん？"""
un_044060_0030#0,"""<%me>やお姉ちゃんは<br>地球に行ったりして戦うのが<br>仕事なんでしょ？"""
un_044060_0040#0,"""……まあ、あたしはともかく<br><%me>はそうかも。"""
un_044060_0050#0,"""シエラは行かなくていいの？<br>それとも、ここで喋ってるのがお仕事？"""
un_044060_0060#0,"""ううっ、なんかアルくんの言い方だと<br>私がずっとここで駄弁ってサボってるように<br>聞こえてきますよ……！"""
un_044060_0070#0,"""１．違うよ"""
un_044060_0080#0,"""２．違うの？"""
un_044060_0090#0,"""ナイスです<%me>さん。<br>いいですかー、アルくん。<br>私には私の仕事があるんですよー。"""
un_044060_0100#0,"""<%me>さん、ちょっと！<br>アルくん信じちゃいますから<br>ちゃんとフォローしてくださいよ！"""
un_044060_0110#0,"""アルくん、アルくん。<br>私には私のですね、私にしかできない<br>仕事というのがあるんですよー。"""
un_044060_0120#0,"""シエラの仕事？"""
un_044060_0130#0,"""私の正式な肩書きは<br>演算特化管理用ハイ・キャスト、です。<br>アークスシップの管理・演算が主な仕事。"""
un_044060_0140#0,"""シップの中に住んでいるみなさんが<br>快適に過ごせるように調整をしつつ<br>アークスのみなさんへ情報を送っているんです。"""
un_044060_0150#0,"""そんなこと、してたんだ……<br>とてもそうは見えなかった。"""
un_044060_0160#0,"""言葉の端々にとげを感じます……が<br>こう見えて私、とっても働き者なんですよ。<br>えっへん！"""
un_044060_0170#0,"""こうしている間にも出撃している<br>アークスっていると思うんだけど……<br>そっちのサポートはしなくていいの？"""
un_044060_0180#0,"""ふふん、私を甘く見ないでくださいね。<br>その程度の並列処理、駄弁りながらでも<br>ちょちょいのちょい。お手の物です。"""
un_044060_0190#0,"""管理関係の演算だけなら<br>シャオにだって負けませんからねー。<br>……他はぼろ負けですけど。"""
un_044060_0200#0,"""それに、こうしてみなさんとお話しするのだって<br>私の仕事の一環なんですよ。"""
un_044060_0210#0,"""かつての管理者……フォトナーは、人の心を<br>一切理解しようとせず、駒のように扱ってきました。<br>その結末は、体制の崩壊でした。"""
un_044060_0220#0,"""人の心はもろくて壊れやすい弱点……<br>しかし時には強く輝く武器にもなる。"""
un_044060_0230#0,"""私は管理者ですが、同時に心を持った人です。<br>情報の提供だけではなく、みなさんと交流して<br>心もふれあって、力になりたい。"""
un_044060_0240#0,"""……だから、私は駄弁るのです！<br>さあみなさん、私といっぱい<br>無駄な会話をしましょう！"""
un_044060_0250#0,"""その最後の台詞さえなければ<br>きれいに締まったのに。"""
