un_057010_0010#0,"""あははっ、あはははっ！<br>なにここなにここ、広くてたーのしー！"""
un_057010_0020#0,"""すごーい！\u3000どこまでも広がってるし<br>どこからでも戻ってこれるー！"""
un_057010_0030#0,"""ちょっとアンタたち<br>無駄に暴れるんじゃないわよ！<br>周りの迷惑ってものを考えなさい！"""
un_057010_0040#0,"""えー、いいじゃん別にー。"""
un_057010_0050#0,"""うるさいおばさんだなあ。"""
un_057010_0060#0,"""おばっ……！"""
un_057010_0070#0,"""ははは、的確な表現だね。<br>まったく、子供の感性は<br>常に正鵠を射る。"""
un_057010_0080#0,"""黙れ負け犬。<br>【巨躯】のやつのように<br>どっか行ってしまいなさい。"""
un_057010_0090#0,"""……あのねえ、二人とも？<br>世の中には言っていいことと<br>悪いことがあるのよお？"""
un_057010_0100#0,"""いいもわるいも、図星でしょ？"""
un_057010_0110#0,"""図星だもんね？\u3000図星だもんね？"""
un_057010_0120#0,"""……世間知らずのお子様がたを<br>しーっかり教育してあげないと<br>いけないみたいねえ！"""
un_057010_0130#0,"""うわーっ、おばさんが怒ったーっ！"""
un_057010_0140#0,"""逃げろ逃げろーっ！"""
un_057010_0150#0,"""待ちなさいッ！"""
un_057010_0160#0,"""うるさいよ"""
un_057010_0170#0,"""静かにして"""
un_057010_0180#0,"""この場の主導権は<br><%me>にある。<br>怒らせない方がいいんじゃないかな？"""
un_057010_0190#0,"""怒られちゃった。"""
un_057010_0200#0,"""おばさんのせいで怒られちゃった。"""
un_057010_0210#0,"""アンタたちのせいでしょーが！"""
un_057010_0220#0,"""ぼくたちのせいじゃないよ。"""
un_057010_0230#0,"""おばさんが暴れたからだよ。"""
un_057010_0240#0,"""どの口が言うのかしらぁ？！"""
un_057010_0250#0,"""うるさいよ、マル"""
un_057010_0260#0,"""静かにして、マル"""
un_057010_0270#0,"""アタシのせいになるの！？"""
un_057010_0280#0,"""あははははっ！"""
un_057010_0290#0,"""あははははっ！"""
name01#0,"""マルガレータ"""
name02#0,"""フラウ"""
