11_voice_NPC_5499_211#0,"""<%me>さん！<br>こんにちは、ジェネです！"""
text01002#0,"""Actualmente, tengo algo lo<br>cual me gustaria consultar, asi que...<br>¿Esta bien si pido tu ayuda?"""
text01003#0,"""実は、あのヒトに許可をもらって<br>アフタルさんとリーンさんのふたりを<br>案内しているんです。"""
text01004#0,"""¿Quisieras animarte y venir con<br>nosotros?<br>Claro... ¿Si puedes? Por favor..."""
text02001#0,"""Hay varios pasos a seguir<br>en nuestra misión"""
text02002#0,"""Todos ellos conllevan<br>a proteger a las personas."""
11_voice_NPC_5499_205#0,"""<%me>さん<br>アフタルさん、楽しんでるみたいです。<br>ふふ、よかったですね。"""
text04001#0,"""アフタルさん、アークスシップを<br>楽しんでくれてるようで<br>本当によかったです。"""
text04002#0,"""これ、アフタルさんにもらった<br>ペンダントですよ。かわいいですよね。<br>えへへ……とってもうれしいです！"""
Title#0,"""『PSO2es』について"""
text0001#0,"""『ＰＳＯ２ｅｓ』のストーリークエストｓｅａｓｏｎ３の<br>新キャラクター、アフタルとリーンが、ジェネと共に<br>期間限定で『ＰＳＯ２』に登場！<br><br>『ＰＳＯ２ｅｓ』はスマートフォンで遊べるアプリケーションです。<br>タッチとスライドの簡単操作で本格アクションが楽しめます。<br><br>『ＰＳＯ２』でおなじみの武器から生まれた<br>「ウェポノイド」と共に、強大なエネミーを相手に戦いましょう！<br>ストーリークエストでは、ジェネやモアたちダーカーバスターズのほか<br>アフタル、リーン、ウェポノイドたち、魅力的な仲間と一緒に<br>宇宙をめぐる壮大な物語に旅立つことができます！"""
text0002#0,"""『ＰＳＯ２ｅｓ』は『ＰＳＯ２』のデータと連動することができます。<br>データを連動させれば『ＰＳＯ２』のキャラクターを<br>そのまま使って遊ぶことができます。<br>無料で使える『ＰＳＯ２ｅｓ連動倉庫』や、経験値チケット<br>様々なレアアイテムなどが入手できます。<br>『ＰＳＯ２ｅｓ』を連動して遊ぶことで『ＰＳＯ２』を<br>いつでも、どこでも、より効率的に楽しめます。<br><br>興味を持った方は今すぐダウンロード！<br>『ＰＳＯ２ｅｓ』をプレイして<br>アフタルやリーンたちに会いに行きましょう！<br>無限に広がる世界で、ダーカーバスターズのメンバーや<br>魅力的なウェポノイドたちがあなたを待っています！<br>さあ、新たなる冒険の旅へ！！"""
Title#1,"""『PSO2es』について"""
text0001#1,"""『ＰＳＯ２ｅｓ』の新キャラクター<br>アフタルとリーンが、ジェネと共に<br>期間限定で『ＰＳＯ２』に登場！<br><br>『ＰＳＯ２ｅｓ』はスマートフォンで遊べる<br>アプリケーションです。<br>タッチとスライドの簡単操作で<br>本格アクションが楽しめます。<br><br>『ＰＳＯ２』でおなじみの武器から生まれた<br>「ウェポノイド」と共に<br>強大なエネミーを相手に戦いましょう！<br>ストーリークエストでは、アフタルやリーン<br>ジェネやモアたちダーカーバスターズの仲間と<br>宇宙をめぐる壮大な物語に<br>旅立つことができます！"""
text0002#1,"""『ＰＳＯ２ｅｓ』は『ＰＳＯ２』のデータと<br>連動することができます。<br>データを連動させれば『ＰＳＯ２』の<br>キャラクターをそのまま使って<br>遊ぶことができます。<br>無料で使える連動倉庫が使え<br>経験値チケットやレアアイテムが入手できます。<br>『ＰＳＯ２ｅｓ』を遊ぶことで『ＰＳＯ２』を<br>いつでもどこでも、より効率的に楽しめます。<br><br>興味を持った方は今すぐダウンロード！<br>『ＰＳＯ２ｅｓ』をプレイして<br>アフタルやリーンたちに会いに行きましょう！<br>ダーカーバスターズのメンバーや<br>魅力的なウェポノイドがあなたを待っています！<br>さあ、新たなる冒険の旅へ！！"""
11_voice_NPC_5499_211#1,"""あ、リーダー！<br>ちょうどいいところに！！"""
text202003_1_2#0,"""今、ホルシードさんに<br>アークスシップを案内していたんです。"""
text202003_1_3#0,"""よければリーダーも<br>ホルシードさんと<br>お話ししていきません？"""
11_voice_NPC_5499_200#0,"""前にホルシードさんとふたりで<br>惑星ウォパルに行った時<br>息抜きがわりに泳ぎに誘ったんです。"""
text202003_2_2#0,"""あ、リーダーとも会いましたよね。<br>合同訓練中のヤスミノコフチームの<br>みなさんと一緒になったり……"""
11_voice_NPC_5499_201#0,"""あの時みたいに<br>ホルシードさんが息抜きできる<br>なにか……見つけたいですね。"""
11_voice_NPC_5499_204#0,"""この前、ホルシードさんを<br>わたしの部屋にお招きしたんです。<br>えへへ、女子会ですよ！"""
11_voice_NPC_5499_216#0,"""わたしの部屋着を貸したら……<br>胸が、ちょっときつかったみたいです。"""
text202003_3_3#0,"""ホルシードさんは<br>スタイルがいいですから。<br>カッコよくて、うらやましいです。"""
11_voice_NPC_5499_202#0,"""リーダー、出撃準備できてますから<br>いつでも声をかけてくださいね。"""
text202003_4_2#0,"""モアとアネットさんとブルーノさんは<br>別の任務があるみたいで……<br>リーダーとふたりでも大丈夫ですよね！"""
11_voice_NPC_5499_205#1,"""ホルシードさんからのお礼……<br>とてもうれしかったです。"""
text202003_5_2#0,"""作ってくれたお料理を食べたら<br>心がポカポカあたたかくなって<br>すごく元気が出てきました。"""
11_voice_NPC_5499_204#1,"""本当のエルジマルト料理の味……<br>楽しみですね！\u3000えへへっ！！"""
text01#0,"""あ、リーダー！<br>ちょうどいいところに！"""
text02#0,"""今、アフタルさんとホルシードさんが<br>アークスシップに来ているんです。"""
text03#0,"""おふたりともリーダーに会えるのを<br>楽しみにしていたみたいですよ！<br>ぜひ声をかけてあげてください。"""
11_voice_NPC_5499_100#0,"""ホルシードさんとアフタルさんを<br>見ていると、姉妹っていいなって<br>憧れちゃいますね！"""
11_voice_NPC_5499_205#2,"""ずっと反発しあっていたふたりが<br>こうして仲のいい姉妹に戻れて<br>本当によかったです。"""
text03#1,"""リーダー、これからも、あのおふたりを<br>見守っていけたらいいですね。"""
11_voice_NPC_5499_200#1,"""さっきホルシードさんたちと<br>カフェに行ってきたんですが……"""
text02#1,"""新作のスイーツが３つも並んでいて<br>３人でそれぞれ買って<br>食べ比べしちゃいました！"""
11_voice_NPC_5499_204#2,"""どれもすごく美味しくて……<br>今度はリーダーも<br>一緒に行きましょうね！"""
11_voice_NPC_5499_200#2,"""あの、リーダー……<br>エルジマルトの水着って、その……<br>かなり大胆だと思いませんか？"""
text02#2,"""ホルシードさんに勧められたんですが<br>布１枚を体に巻きつけるだけだと<br>どうしてもこぼれ落ちそうで……"""
11_voice_NPC_5499_201#1,"""あらためて文化の違いって<br>すごいと思います……"""
11_voice_NPC_5499_205#3,"""ホルシードさんとアフタルさんが<br>作ってくれたエルジマルトの料理<br>とても美味しかったですね！"""
text02#3,"""どこか懐かしくて温かい……<br>おふたりにとっては忘れられない<br>故郷の味というものなんでしょうね。"""
11_voice_NPC_5499_204#3,"""それをみんなで順番に食べて……<br>ふふ、なんだか家族の輪の中に<br>入れたみたいで、うれしかったです。"""
