Aru_01_10#0,"""어린아이가 만들 수 있고<br>선물로 줄 만한<br>좋은 아이디어……인가요?"""
11_voice_NPC_5256_104#0,"""글쎄요……<br>예전에 어린아이에게 선물로<br>종이 배지를 받은 적이 있어요."""
11_voice_NPC_5256_100#0,"""열심히 손수 만들어 줬다는……<br>마음이 아주 잘 전해졌고<br>흐뭇하고 기뻤어요."""
favs_before_010#0,"""<%me> 씨.<br>전해 드리고 싶은 게 있어요."""
favs_before_020#0,"""……이걸 받으세요.<br>예전에 마토이 씨에게<br>맡아 두었던 물건이에요."""
11_voice_NPC_5256_100#1,"""늘 신세를 지고 있다며<br>답례를 준비했다고 해요."""
favs_after_010#0,"""전해 줄 때를 놓쳤으니<br>일단 맡아 달라고 했어요."""
favs_after_020#0,"""그리고 자기에게 무슨 일이 생기면<br>제가 당신에게 전해 달라고……<br>마토이 씨가 말씀하셨어요."""
favs_after_030#0,"""……약속은 약속이에요.<br>저는 약속을 제대로 지켜서 이걸<br>당신께 전해 드리겠습니다."""
favs_before_110#0,"""<%me> 씨.<br>마토이 씨의 선물을<br>맡아 두고 있어요."""
favs_after_110#0,"""조금만 더 지나면 마토이 씨의<br>상황도 진정될 테니<br>그때까지 참는 거예요."""
favs_present_010#0,"""필리아에게서 『포톤 스피어』를 받았습니다."""
favs_present_020#0,"""필리아에게서 『메기버스』를 받았습니다."""
favs_present_030#0,"""필리아에게서 『엑스큐브』를 받았습니다."""
favs_present_040#0,"""필리아에게서 『익스트림 패스』를 받았습니다."""
favs_present_050#0,"""필리아에게서 『나 메기드』를 받았습니다."""
favs_present_060#0,"""필리아에게서 『트라이부스트 +50%』를 받았습니다."""
favs_present_070#0,"""필리아에게서 『능력 추가 성공률 +10%』를 받았습니다."""
favs_present_080#0,"""필리아에게서 『강화 리스크 경감 (+2)』를 받았습니다."""
favs_present_090#0,"""필리아에게서 『능력 추가 성공률 +10%』를 받았습니다."""
favs_present_100#0,"""필리아에게서 『일 메기드』를 받았습니다."""
favs_present_add_001#0,"""필리아에게서 『<%skit_text>』를 받았습니다."""
11_voice_NPC_5256_100#2,"""다치면 바로 와 주세요.<br>모험을 떠나기 전에도 와 주세요.<br>언제든 환영합니다."""
11_voice_NPC_5256_100#3,"""메디컬 센터에서 얻는<br>부스트 효과는 일시적입니다."""
Filia_02_020#0,"""이걸 영구화할 수 있다면<br>아크스 여러분에게만 전투 책임을<br>떠넘기지 않아도 될 텐데요……"""
11_voice_NPC_5256_104#1,"""아무리 강한 사람이라도<br>무적은 아닙니다.<br>경계만은 잊지 말아 주세요."""
