11_voice_NPC_5061_100#0,"""해피 할로윈!\u3000올해도<br>가을 축제가 찾아왔어!"""
text01002#0,"""지금 이벤트에서 열<br>파티를 준비하고 있어!<br>모두 의욕이 넘친다고!"""
text01003#0,"""너도 도와줘야 해!<br>이번 파티를<br>모두 함께 성공시키자!"""
text01#0,"""할로윈 이벤트 기획?<br>아이디어는 내가 냈지만<br>여러 사람이 힘을 보태 줬어!"""
text02#0,"""요즘 모두 바빠서<br>함께 모여 즐길 기회가 없으니<br>적극 도와준 것 같아."""
11_voice_NPC_5061_100#1,"""모처럼이니 어른부터 아이까지<br>모두가 두근거릴 만한<br>이벤트로 만들고 싶어!"""
11_voice_NPC_5061_104#0,"""왜 이벤트만 열면<br>그렇게 열심히 하냐고?<br>음, 듣고 보니 그렇네……"""
11_voice_NPC_5061_100#2,"""모두가 기뻐하면 나도 기쁘니까!<br>즐거워하는 모두의 미소를 보면<br>준비하며 쌓인 피로도 싹 사라져!"""
text03003#0,"""그러면서도 네게 의지하고 있네.<br>늘 부탁을 잔뜩 들어줘서<br>정말 큰 도움이 돼!"""
11_voice_NPC_5061_101#0,"""트릭 오어 트릿!<br>과자를 안 주면 장난칠 거야!<br>……농담이야."""
text04002#0,"""할로윈은 즐겁지.<br>모르는 사람에게 이렇게 말을 걸면서<br>친해질 수도 있으니까!"""
11_voice_NPC_5061_100#3,"""네 덕분에 준비 완료!<br>정말, 정말 고마워!"""
text05002#0,"""네 노력에 제대로 보답하도록<br>파티는 반드시<br>성공시킬 테니까!"""
11_voice_NPC_5061_101#1,"""반드시 멋진 파티로 만들게.<br>너도 즐겨 줬으면 해!"""
11_voice_NPC_5061_100#4,"""트릭 오어 트릿!<br>후후훗, 역시 이 말은 해야지!"""
11_voice_NPC_5061_101#2,"""모처럼 할로윈이니<br>모두가 아주 만족할 만큼<br>즐거운 이벤트를 열어야지!"""
text01003#1,"""그런데 사실 곤란한 일이 있어서……<br>이번에도 네 힘이 필요해!<br>그러니 협력 부탁할게!"""
11_voice_NPC_5061_104#1,"""상황은 어떻게 되고 있어?<br>언제까지든 기다릴게!"""
11_voice_NPC_5061_100#5,"""평소 웃지 않는 사람도<br>이벤트를 즐기며 웃어 주면<br>정말 기뻐!"""
text03002#0,"""기획하길 잘했다고<br>실감하는 순간이야."""
text03003#1,"""그러려면 준비를 열심히 해야지.<br>협력 부탁할게!"""
11_voice_NPC_5061_101#3,"""도와줘서 고마워!<br>네가 협력해 준 덕분에<br>준비도 순조로워!"""
text04002#1,"""정말 큰 도움이 돼!<br>아, 그래도 무리하면 안 돼!"""
11_voice_NPC_5061_101#4,"""수고했어!<br>네가 협력해 준 덕분에<br>이벤트를 무사히 열 수 있을 것 같아."""
text05002#1,"""여러 사고가 있었지만……<br>끝이 좋으면 다 좋은 거지!"""
text05003#0,"""나뿐만 아니라<br>도와준 아크스 아이들도<br>모두 네게 감사하고 있어."""
text05004#0,"""정말, 정말 고마워!<br>이제 푹 쉬어!"""
