11_voice_NPC_5065_101#0,"""らーらーらー、らららーらーらー♪<br>きみのー……さけびはっ♪"""
Kuna_01_020#0,"""ふふふーふーふーん……♪"""
11_voice_NPC_5065_104#0,"""あたし？\u3000何してるのかって？<br>ショップエリアに来る機会なんて<br>そうそう無いから、人間観察。"""
Kuna_02_020#0,"""みんながどういう流行を見ていて<br>どんなことに注目しているのかって<br>じーっと見てるの。"""
Kuna_02_030#0,"""流行をビンカンに捉える！<br>これ、アイドルのみならず<br>何事においても重要なことよ？"""
11_voice_NPC_5065_107#0,"""しっかし、どうしてあなたはあたしを<br>こうもカンタンに見つけられるんだろ？"""
Kuna_03_020#0,"""他の人から見えないように<br>屈折率とかいじっているんだけど<br>……効果が無いのかな？"""
Kuna_03_030#0,"""ま、考えてわかることでもないし<br>そのおかげで知り合えたんだし<br>別に良いんだけどねー。"""
11_voice_NPC_5065_100#0,"""やっ、お互いに無事でよかった。<br>助けに行くの遅れちゃってゴメンね。<br>情報収集にかなーり時間かかってさ。"""
Kuna_mb17_020#0,"""あの双子の情報屋さんとかが<br>手伝ってくれて、なんとかって感じ。<br>ほんと、みんなに感謝だよ。"""
Kuna_mb17_030#0,"""しっかし、こちとらアイドル生命<br>終わりのつもりで演説したんだけど……"""
11_voice_NPC_5065_101#1,"""なんか逆に人気が高まってるみたい<br>なんだよね。凛としててかっこいいとか<br>なんとか……ヘンなの。"""
11_voice_NPC_5065_100#1,"""……やっぱりあなたには<br>あたしのことが丸見えみたいだね。<br>今もマイの力、使ってるんだよ？"""
11_voice_NPC_5065_104#1,"""それでもあなたはあたしを見つける。<br>……なんでだろ？\u3000不思議だよね。<br>だけど、ちょっと納得もしてるんだ。"""
Kuna_mb18_030#0,"""あなたは、あたしたちとはなんだか<br>少し視点が違う気がするから……<br>外側から見てる、気がするから。"""
11_voice_NPC_5065_105#0,"""上手く表現できないなあ……<br>まあ、かいつまんで言うと、あなたは<br>特別な感じがする、ってことかな？"""
Kuna_mb19_010#0,"""あたし、ここでボーッとしてる<br>わけじゃないんだよ。<br>お忍びイメトレ中、ってところかな。"""
11_voice_NPC_5065_101#2,"""今回のライブも大成功！<br>行き交うみんなも満面の笑み！<br>そういう姿を、想像してるの。"""
Kuna_mb19_030#0,"""アイドルの歌は、聞いて喜んでくれる<br>人がいてこそのもの、だからね。<br>こういうイメトレも重要なんだ。"""
Kuna_mb20_010#0,"""うーん……そろそろ行ってあげないと<br>寂しがっちゃうかなあ……"""
11_voice_NPC_5065_106#0,"""って、うわっ！<br>い、いたなら声かけてよ、まったく！"""
Kuna_mb20_030#0,"""寂しい？\u3000誰が？\u3000あたしが？<br>違う違う、ぜんぜん違う。<br>あたしが寂しいわけないじゃん。"""
11_voice_NPC_5065_100#2,"""だって、誰にも見えなくしてるのに<br>会いに来てくれる人がいるんだから。"""
Kuna_mb21_010#0,"""龍祭壇へは、できるだけ定期的に<br>行けるようにしようと思ってるの。"""
11_voice_NPC_5065_100#3,"""ちゃんと歌は届いてるって<br>そう、言ってもらえたしね。"""
Kuna_mb21_030#0,"""きっと待ってるはずだから。<br>寂しがる前に会ってあげないと。"""
Asai_01_10#0,"""やっほー！\u3000元気？<br>このスーパーアイドル<br>クーナちゃんになにか用かな？"""
11_voice_NPC_5065_104#2,"""……へ？\u3000強さについて？<br>そういうの、あたしに聞いちゃう？<br>まあ、いいけどさー。"""
Asai_01_30#0,"""んー……真面目に答えるなら<br>相手の情報をどれだけ知ってるか<br>そういうのも大事だと思うのよね。"""
Asai_01_40#0,"""知らないことってやっぱり<br>何よりも怖いことだと思うんだ。"""
Kuna_mb22_010#0,"""あ、やっほー。<br>相変わらず忙しそうだね。"""
11_voice_NPC_5065_104#3,"""あたしの方はって？<br>んー、アークスの仕事は最近は<br>少なくなってきたかなあ。"""
Kuna_mb22_030#0,"""あ、でもスケジュールには<br>都合をきかせて、龍祭壇へは<br>行ったりしているかな。"""
11_voice_NPC_5065_100#4,"""うちの弟は、寂しがりだからね。<br>できるだけ行ってあげないと。<br>それが姉の役目でもあるからさ。"""
Kuna_mb23_010#0,"""こういう仕事をしているとさ<br>結構顔見知りのアークスって<br>増えるんだよね。"""
Kuna_mb23_020#0,"""まあ、あなたを通すと<br>たいていの人と顔見知りに<br>なっちゃいそうだけど。"""
11_voice_NPC_5065_100#5,"""だってたいていの人があなたを<br>知っているんだもん。<br>顔が広いよね。"""
Kuna_mb23_after_010#0,"""や、大変だったね。<br>全部、状況は知ってるよ。"""
Kuna_mb23_after_020#0,"""それで、どうするのかな？<br>なんて聞くまでもないよね。"""
11_voice_NPC_5065_100#6,"""力が必要ならいつでも言って。<br>すぐに駆けつけるから。"""
Kuna_mb23_after_040#0,"""忘れないで。<br>あなたは一人じゃない。<br>だから一人で抱え込まないでね。"""
Kuna_mb24_010#0,"""アークスだけに限らず、多くの人が<br>あなたのことを気にかけて<br>協力しようとしてる。"""
Kuna_mb24_020#0,"""もちろん、あたしもそのつもり。<br>遠慮なんていらないから。<br>絶対に協力、させてよね。"""
11_voice_NPC_5065_100#7,"""だから、諦めずに帰ってきなさいよ。<br>あの子と一緒に、二人で。"""
11_voice_NPC_5065_100#8,"""記念ライブ、どうだった？<br>良かったって？<br>ふふ、それなら良かった。"""
Kuna_mb24_after_020#0,"""約束通り、記念ライブできて<br>あたしも良かったかな。"""
Kuna_mb24_after_030#0,"""約束果たせなかったら<br>やっぱり嫌じゃん？<br>そんな結果も、絶対に嫌だしさ。"""
11_voice_NPC_5065_101#3,"""ともかく、お疲れさま！<br>二人一緒に帰ってきたし<br>あたしも、嬉しかったよ。"""
Kuna_mb25_010#0,"""【深遠なる闇】の対策に向けて<br>結構いろいろ動いてる感じね。"""
11_voice_NPC_5065_104#4,"""あたしのほうはどうかって？<br>んー、記念ライブして以降は<br>ちょっと忙しくなったかなあ。"""
Kuna_mb25_030#0,"""元気になれたとか、嬉しかったとか。<br>結構喜んでくれる人も多くってさ。"""
