st01_010#0,"""<%me><br>迷惑ばっかりかけて、ごめん。"""
st01_020#0,"""あたし、いろいろ甘かったんだ。<br>心のどこかで、誰かがなんとか<br>してくれる、って思ってた。"""
st01_030#0,"""今は違うよ。今は、違う。<br>アルを助けるのも、マザーを<br>なんとかするのも、あたしの役目。"""
st01_040#0,"""間違えることはあると思うけど……<br>絶対に、自分のやるべきことを<br>忘れないから。"""
st01_010#1,"""……コオリ。"""
11_voice_NPC_5324_106#0,"""……あ、<%me>。<br>ごめん、ちょっとぼーっとしてた。"""
st01_030#1,"""大丈夫、戦いになったら集中するよ。<br>そこは間違えないから、うん。<br>……躊躇ったりも、しないから。"""
st01_010#2,"""あ、<%me>。<br>あの、さ。えーっと、改めてだけど<br>……本当に、ありがとう。"""
st01_020#1,"""コオリ、助けられたの<br><%me>が<br>背中を押してくれたおかげだから。"""
st01_030#2,"""コオリは今、メディカルチェックを<br>受けてるけど、すごく元気そうだったし<br>もう心配はいらないと思う。"""
st01_040#1,"""……本当に、本当に、ありがとう。<br>あたしのかけがえのない友達を<br>助けてくれて。"""
st01_010#3,"""アルは無事取り戻せたけど<br>マザーはアーデムさんにやられて……<br>色々ありすぎて、混乱中だよ。"""
11_voice_NPC_5324_102#0,"""嬉しさと悔しさと、やるせなさが<br>ぐっちゃぐちゃに混ざっちゃって。"""
st01_030#3,"""でも、あたしより兄さんの方が<br>混乱していると思う。<br>付き合いの長さが違うし。"""
st01_040#2,"""アルが戻ってきたのは嬉しいけど……<br>あんな顔した兄さん、初めて見る。<br>ちょっとだけ心配。"""
st01_010#4,"""アーデムさんを止める。<br>その意志に、変わりはないよ。"""
st01_020#2,"""たとえどんな困難が待っていても<br>……あたしはもう、あたしの心に<br>嘘ついたり、しないから。"""
st01_030#4,"""だから<%me><br>貴方とともに、最後まで歩ませて。"""
st01_010#5,"""****"""
st01_020#3,"""****"""
st01_030#5,"""****"""
11_voice_NPC_5324_100#0,"""****"""
