name010#0,"""나즌"""
text010#0,"""그럼, 다음 퀴즈로 넘어가겠습니다!"""
text020#0,"""이름하여, <red>\""누가 지나갔을까요\""<c> 퀴즈!"""
text030#0,"""지금부터 에너미가 나무 사이를 가로질러 지나갑니다.<br>그 이름을 알려주세요."""
text031#0,"""자 그럼, 가 봅시다!"""
text040#0,"""방금 본 에너미는, 무엇이었을까요?<br>렛츠 씽킹!"""
text050#0,"""타임 업!"""
text060#0,"""\""누가 지나갔을까요\"" 퀴즈는 여기까지입니다.<br>다음 퀴즈의  장소로 이동하죠!"""
countdown_3#0,"""3"""
countdown_2#0,"""2"""
countdown_1#0,"""1"""
quiz00_01#0,"""없음"""
quiz01_01#0,"""누가 지나갔을까요"""
quiz_correct#0,"""축하드립니다!"""
quiz_incorrect#0,"""아쉽네요…."""
quiz_select_lizfir#0,"""리자드 프레이"""
quiz_select_lizice#0,"""리자드 아이스"""
quiz_select_lizthu#0,"""리자드 썬더"""
quiz_select_sunny#0,"""서니"""
quiz_select_moony#0,"""무니"""
quiz_select_ramsunny#0,"""프람 서니"""
quiz_select_rumysunny#0,"""루미 서니"""
quiz_select_patt#0,"""파트"""
quiz_select_rampatt#0,"""라무르 파트"""
quiz_select_rampatty#0,"""라무르 팟티"""
quiz_select_flampatt#0,"""플람 파트"""
quiz_select_tinos#0,"""티노스"""
quiz_select_lavatinos#0,"""라바 티노스"""
quiz_select_sandtinos#0,"""샌드 티노스"""
quiz_select_snowtinos#0,"""스노우 티노스"""
quiz_select_gardinanlore#0,"""가디난 로어"""
quiz_select_gardinanwolore#0,"""가디난 볼로아"""
quiz_select_spardanlore#0,"""스파르단 A 로어"""
quiz_select_spardanwolore#0,"""스파르단 A 볼로아"""
quiz_select_spargunlore#0,"""스파르 건 로어"""
quiz_select_spargunwolore#0,"""스파르 건 볼로아"""
quiz_select_signogunlore#0,"""시그노 건 로어"""
quiz_select_signogunwolore#0,"""시그노 건 볼로아"""
quiz_select_gerogero#0,"""케로게로"""
quiz_select_hielgero#0,"""히엘게로"""
quiz_select_chibetagero#0,"""치베타게로"""
quiz_select_pedasword#0,"""페다스 소드"""
quiz_select_pedasgun#0,"""페다스 건"""
quiz_select_gazasaxe#0,"""가자스 액스"""
quiz_select_gazasslash#0,"""가자스 슬래시"""
quiz01_answer#0,"""정답은…<br><red>리자드 프레이<c>입니다!"""
quiz02_answer#0,"""정답은…<br><red>리자드 아이스<c>입니다!"""
quiz03_answer#0,"""정답은…<br><red>리자드 썬더<c>입니다!"""
quiz04_answer#0,"""정답은…<br><red>서니<c>입니다!"""
quiz05_answer#0,"""정답은…<br><red>무니<c>입니다!"""
quiz06_answer#0,"""정답은…<br><red>프람 서니<c>입니다!"""
quiz07_answer#0,"""정답은…<br><red>루미 서니<c>입니다!"""
quiz08_answer#0,"""정답은…<br><red>파트<c>입니다!"""
quiz09_answer#0,"""정답은…<br><red>라무르 파트<c>입니다!"""
quiz10_answer#0,"""정답은…<br><red>라무르 팟티<c>입니다!"""
quiz11_answer#0,"""정답은…<br><red>플람 파트<c>입니다!"""
quiz12_answer#0,"""정답은…<br><red>티노스<c>입니다!"""
quiz13_answer#0,"""정답은…<br><red>라바 티노스<c>입니다!"""
quiz14_answer#0,"""정답은…<br><red>샌드 티노스<c>입니다!"""
quiz15_answer#0,"""정답은…<br><red>스노우 티노스<c>입니다!"""
quiz16_answer#0,"""정답은…<br><red>가디난 로어<c>입니다!"""
quiz17_answer#0,"""정답은…<br><red>가디난 볼로아<c>입니다!"""
quiz18_answer#0,"""정답은…<br><red>스파르단 A 로어<c>입니다!"""
quiz19_answer#0,"""정답은…<br><red>스파르단 A 볼로아<c>입니다!"""
quiz20_answer#0,"""정답은…<br><red>스파르 건 로어<c>입니다!"""
quiz21_answer#0,"""정답은…<br><red>시그노 건 로어<c>입니다!"""
quiz22_answer#0,"""정답은…<br><red>시그노 건 볼로아<c>입니다!"""
quiz23_answer#0,"""정답은…<br><red>케로게로<c>입니다!"""
quiz24_answer#0,"""정답은…<br><red>히엘게로<c>입니다!"""
quiz25_answer#0,"""정답은…<br><red>치베타게로<c>입니다!"""
quiz26_answer#0,"""정답은…<br><red>페다스 소드<c>입니다!"""
quiz27_answer#0,"""정답은…<br><red>페다스 건<c>입니다!"""
quiz28_answer#0,"""정답은…<br><red>가자스 액스<c>입니다!"""
quiz29_answer#0,"""정답은…<br><red>가자스 슬래시<c>입니다!"""
