Title#0,"""MISSION: Decision"""
Explanation#0,"""アークスの訓練用プログラム、第二弾です。<br>舞台は凍土、地下坑道、浮遊大陸となり<br>支援物資かチャレンジマイルのどちらかを<br>選択し、クリアを目指していただきます。<br><br>初期装備や所持品は一切なく、全てが<br>現地調達となります。ご注意ください。<br>――――――――――――――――――――<br>Objective / Clear 5 missions.<br>※There is no Mission 6 or higher."""
SimpleExplanation#0,"""Clear 5 missions!"""
Area0S#0,"""Mission 1"""
Area0L#0,"""ARKS Ship - VR Field (Tundra) - Mission 1"""
Area1S#0,"""Mission 2"""
Area1L#0,"""ARKS Ship - VR Field (Tunnels) - Mission 2"""
Area2S#0,"""Mission 3"""
Area2L#0,"""ARKS Ship - VR Field (Skyscape) - Mission 3"""
Area3S#0,"""Mission 4"""
Area3L#0,"""ARKS Ship - VR Field (Tundra) - Mission 4"""
Area4S#0,"""Mission 5"""
Area4L#0,"""ARKS Ship - VR Field (Corrupt Tunnels) - Mission 5"""
Area21S#0,"""Interval Area 1"""
Area21L#0,"""ARKS Ship - VR Field (Skyscape) - Interval Area 1"""
Area23S#0,"""Interval Area 2"""
Area23L#0,"""ARKS Ship - VR Field (Tunnels) - Interval Area 2"""
NpcComMsg1#0,"""The challenge will begin shortly. <br>Clear five missions before <br>running out of VR energy."""
NpcComMsg2#0,"""Your inventory will rely on on-site procurement. <br>This is an intense training exercise in which <br>you must play adapt on the fly. Good luck!"""
NPCArea0#0,"""/atime2.5 /voice11_voice_navi07_013 This is Mission 1.<br>First collect the items from the containers<br>and defeat the enemies."""
NPCArea1#0,"""/atime2.5 /voice11_voice_navi07_014 In Mission 2, darkness will occur at regular intervals. <br>There seems to be some relation to the movement of <br>the spiked floor and the darkness."""
NPCArea3#0,"""/atime2.5 /voice11_voice_navi07_016 This is Mission 4. In this area,<br>energy capsules are available <br>only in D-2 and A-2."""
NPCArea4#0,"""/atime2.5 /voice11_voice_navi07_017 This is Mission 5.<br>This is the final mission.<br>Push yourself to the limit!"""
