a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
a5#0,"""슈퍼 하드 수주 허가증 소지"""
Area0S#0,"""동토"""
Area0L#0,"""행성 나베리우스 동토"""
Title#0,"""섬멸전 : 나베리우스"""
Explanation#0,"""대량의 에너미가 출현하는 전황을<br>상정한 훈련입니다. 제한 시간 내에<br>가능한 한 에너미를 격파해주세요.<br>아크스의 지원 무기「스프레드 봄」의<br>마커가 달린 에너미를 격파하면<br>주위의 적을 말려들게 하여 큰 데미지를<br>입힐 수 있습니다.<br>――――――――――――――――――――<br>성공 조건／E 트라이얼 클리어<br>실패 조건／라이프 포인트가 0이 된다"""
NpcComMsg1#0,"""TEST1"""
NpcComMsg2#0,"""TEST2"""
SimpleExplanation#0,"""시간 내에 더 많은 적을 격파하라!"""
