name01#0,"""카린"""
skit01#0,"""와, 해냈네요!<br>모든 스테이지를 클리어했어요!<br>좋은 데이터도 한가득이에요!"""
skit02#0,"""아, 참고로 다음번에는<br>첫 스테이지부터 다시 시작해요!<br>잊지 마세요!"""
skit03#0,"""대신, 멋진 아이템과 교환할 수 있는<br>포톤 크리스탈을<br>잔뜩 선물해 드릴게요!"""
skit04#0,"""아무튼!\u3000이번에도<br>스테이지 오더 달성 수에 맞춰<br>아이템을 가져가세요!"""
skit05#0,"""익스트림 단말기에서<br>원하는 걸 골라 주세요.<br>그럼, 수고하셨어요!"""
skit06#0,"""그리고 레어 아이템과 교환할 수 있는<br>포톤 부스터도 드릴게요!<br>다음번에도 힘내세요!"""
text01#0,"""카린에게서 『포톤 크리스탈』 4개를 받았습니다."""
text02#0,"""카린에게서 『포톤 부스터』 2개를 받았습니다."""
text03#0,"""카린에게서 『포톤 크리스탈』 3개를 받았습니다."""
text04#0,"""카린에게서 『포톤 크리스탈』 15개를 받았습니다."""
text05#0,"""카린에게서 『포톤 크리스탈』 60개를 받았습니다."""
