Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 1 Mitarashi, look at me! These boots are a perfect match for my leg parts!"""
Success#1,"""/ci2 2 /mn15 Yes, I have to thank you for helping me choose. As a Bo/Ph, the extra speed on Vinto Gigue is invaluable!"""
Failure#1,"""Oh, have we failed? We'll just have to do better next time."""
Dead#1,"""Oops, I wasn't paying attention...<br>You know, I wish they'd apply some sort of dirt decal to your character when you're incapacitated."""
BuddyDead#1,"""Mitarashi... You couldn't concentrate because you were focused on my leg parts, am I right? Well, who could blame you?"""
