msc_011330_0010#0,"""...Фух."""
msc_011330_0020#0,"""Хорошо сражалась, Аина."""
msc_011330_0030#0,"""Спасибо, Манон."""
msc_011330_0040#0,"""Связь восстановилась.<br>Подтверждаю поражение Дайдару."""
msc_011330_0050#0,"""Это поразительно!<br>Вы смогли справиться втроём."""
msc_011330_0060#0,"""Что теперь?"""
msc_011330_0070#0,"""Сейчас проверяю.<br>...Это же..."""
msc_011330_0080#0,"""В лесу Резол потерян сигнал отряда Бурудара..."""
msc_011330_0090#0,"""Что?!"""
msc_011330_0110#0,"""Проверяю текущую обстановку!"""
msc_011330_0120#0,"""Ран, экстренный вызов всем ARKS."""
msc_011330_0130#0,"""Приняла."""
msc_011330_0140#0,"""Экстренный вызов от Крофорда. Пожалуйста,<br>вернитесь в Централ-Сити."""
msc_011330_0150#0,"""Х-хорошо."""
