Title_Yellow#0,"""【Жёлтый портал：$(0)】"""
Title_Purple#0,"""【Фиолетовый портал：$(0)】"""
DirectionTitle#0,"""【$(0)】"""
Battledia#0,"""Батлдиа"""
Title#0,"""Кокон Треиниа"""
DirectionTitle#1,"""【$(0)】"""
BrokenAllBarrierPod#0,"""Контейнер больше не под защитой."""
LestBarrierPodNum#0,"""Осталось барьер-капсул: $(0) шт."""
BarrierActive#0,"""Вокруг контейнера находятся барьер-капсулы."""
Title#1,"""Устройство Рюкера"""
DirectionTitle#2,"""【$(0)】"""
GetMag#0,"""世界の秘密を入手しました"""
GetGroup#0,"""世界の秘密がそろい、新しい記憶が解放されました"""
GetItem#0,"""Получен предмет из сообщения."""
Title#2,"""Mag региона"""
DirectionTitle#3,"""【$(0)】"""
Title#3,"""Башня Треиниа"""
DirectionTitle#4,"""【$(0)】"""
TookThis#0,"""フォトンブラストがチャージされた"""
