BuffToast_Prefix#0,"""вызвал(а) общий бонус на """
BuffToast_Suffix#0,"""."""
RegionMag:AttackBuff#0,"""увеличение наносимого урона"""
RegionMag:QuestDropRareUp#0,"""увеличение частоты выпадения редких предметов"""
RegionMag:ExpUp#0,"""увеличение получаемого опыта"""
RegionMag:SeasonalPointUp#0,"""увеличение шанса появления врага сезона"""
BuffToast#0,"""$(1) вызвал(а) общий бонус \""Mag'а региона\"" на $(0)."""
MagName_1#0,"""Непобедимый Mag региона """
MagName_2#0,"""Эксперт Mag региона """
MagName_3#0,"""Бесценный Mag региона """
MagName_4#0,"""Непобедимый Mag региона """
MagName_5#0,"""Эксперт Mag региона """
MagName_6#0,"""Бесценный Mag региона """
MagName_7#0,"""Непобедимый Mag региона (Холодоустойчивый)"""
MagName_8#0,"""Эксперт Mag регионаg (Холодоустойчивый)"""
MagName_9#0,"""Бесценный Mag региона (Холодоустойчивый)"""
MagName_10#0,"""Непобедимый Mag региона """
MagName_11#0,"""Эксперт Mag региона """
MagName_12#0,"""Бесценный Mag региона """
