un_012510_0005#0,"""【밝고 격하게 갑시다!】<br>임시 텍스트"""
un_012510_0010#0,"""…이어서 오늘의 주제입니다."""
un_012510_0020#0,"""최근 아크스의<br>이미지 아티스트로 발탁된<br>가수 쿠나 씨."""
un_012510_0030#0,"""화제가 되고 있는 가운데<br>각 아크스 쉽을 순회하는<br>라이브 투어를 시작했습니다."""
un_012510_0040#0,"""여러분~!<br>오늘 와주셔서<br>고마워요~!"""
un_012510_0050#0,"""몸과 마음을 바쳐<br>노래할 테니까~!"""
un_012510_0060#0,"""앙코르도, 언제까지든!<br>여러분도 사소한 건 잊은 채로<br>마음이 향하는 대로 따라와!"""
un_012510_0070#0,"""밝게, 격렬하게, 강렬하게!<br>모두 함께 즐겨 봐요!"""
un_012510_0080#0,"""이야~ 역시 쿠나는<br>귀엽네에…!"""
un_012510_0090#0,"""큭, 나도 저기에<br>가고 싶었어!<br>쿠나가 보고 싶었어!"""
un_012510_0100#0,"""여러분~!<br>오늘 와주셔서 고마워요~!"""
un_012510_0110#0,"""몸과 마음, 영혼을 담아 노래할게~!"""
un_012510_0120#0,"""앙코르도, 언제까지든!<br>여러분도 사소한 건 잊은 채로<br>마음이 향하는 대로 따라와!"""
un_012510_0130#0,"""밝게, 격렬하게, 강렬하게!<br>모두 함께 즐겨 봐요!"""
un_012510_0140#0,"""이야~ 역시 쿠나는<br>귀엽네에…!"""
un_012510_0150#0,"""크으, 나도 저기에 가고 싶었어!<br>쿠나가 보고 싶었어!"""
