name01#0,"""？？？"""
name02#0,"""？？？"""
ra_020410_0001#0,"""A.P.238/6/24"""
ra_020410_0010#0,"""貴方も調査に来たのかしら？<br>でも残念、この辺りはハズレよ。"""
ra_020410_0020#0,"""このヘンテコな施設について<br>いろいろ探ってみたけど、ダメ。<br>大した痕跡は残ってなかったわ。"""
ra_020410_0030#0,"""……もっと奥に<br>入ってみないと、何も掴めない。"""
ra_020410_0040#0,"""アークスが警戒してるって話だし<br>派手には動きたくないんだけど<br>仕方がないか……"""
ra_020410_0050#0,"""……って、そういえば<br>貴方もアークスだったか。"""
ra_020410_0060#0,"""アークスが警戒、って言い方は<br>すこし語弊があるわね。<br>正しくは、ルーサーが警戒、かしら。"""
ra_020410_0070#0,"""警戒してるだけじゃなく<br>本人がうろうろしてるみたい。<br>……何が目的なのかしら。"""
ra_020410_0080#0,"""……そうだ、貴方に<br>折り入って相談があるんだけど。"""
ra_020410_0090#0,"""今度、ここの調査に<br>つきあってくれない？"""
ra_020410_0100#0,"""マリアが今は動けなくてさ。<br>あたし一人だと、何かアークスと<br>あったときに対処しにくいし……"""
ra_020410_0110#0,"""タイミングは貴方に任せるわ。<br>都合のいいときに連絡ちょうだい。<br>それじゃね。"""
