un_020560_0010#0,"""Hola. Parece que nos encontramos con frecuencia. Supongo que casi trabajas tan duro como yo.."""
un_020560_0020#0,"""Hay un montón de seres humanos, Newmans, Casts y Dewmans en ARKS, usted pensaría que me encontraría con otras personas más."""
un_020560_0030#0,"""Pero no, parece que sólo me encuentro con usted, Parece el destino, romántico, huh? Haha."""
un_020560_0040#0,"""It's like reading the history or ARKS, there's more than just a few fortunate coincidences."""
un_020560_0050#0,"""Los orígenes de Dewmans también son similares en ese sentido."""
un_020560_0060#0,"""No sé cuánto tiempo atrás esto fue, pero, de repente, los restos de una forma de vida salió de la nada."""
un_020560_0070#0,"""Así es como se graba al menos, pero no puedo imaginar algo tan conveniente sucediendo."""
un_020560_0080#0,"""Tenía escamas como un dragón y era similar a Darkers, y basado en eso, ellos hicieron experimentos."""
un_020560_0090#0,"""Y los resultados de esos experimentos somos nosotros."""
un_020560_0100#0,"""Eso y esto es sólo entre nosotros."""
un_020560_0110#0,"""Pero parece que esos restos eran muy similares al dragón que se desbastó."""
un_020560_0120#0,"""Parece una coincidencia realmente extraña, ¿no estás de acuerdo?"""
un_020560_0130#0,"""Pero supongo que sin eso, no existiría, así que no puedo quejarme."""
