name01#0,"""サラ"""
name02#0,"""カブラカン"""
name03#0,"""クラリスクレイス"""
skit01#0,"""/ci1 1 ええっと……これは……<br>情報データのようだけど<br>これだけだと断片的で読み取れないわ。"""
skit02#0,"""/ci1 1 他の端末から、データを集めれば<br>復元できるかもしれない。<br>生きた端末を探してみましょう。"""
skit01#1,"""ええっと……これは……<br>情報データのようだけど<br>これだけだと断片的で読み取れないわ。"""
skit02#1,"""他の端末から、データを集めれば<br>復元できるかもしれない。<br>生きた端末を探してみましょう。"""
skit01#2,"""/ci1 1 ……この端末の情報も、生きてるわね。<br>さっきのと合わせて、これが二個目の<br>データにあたるみたい。"""
skit02#2,"""/ci1 1 情報量から考えて、全部で五個の断片。<br>つまり、あと三個ってことね。"""
skit01#3,"""……この端末の情報も、生きてるわね。<br>さっきのと合わせて、これが二個目の<br>データにあたるみたい。"""
skit02#3,"""情報量から考えて、全部で五個の断片。<br>つまり、あと三個ってことね。"""
skit01#4,"""/ci1 1 この端末の情報も生きてるみたいね。<br>分析はシャオに任せて、あたしたちは<br>残りを探しましょう。"""
skit01#5,"""この端末の情報も生きてるみたいね。<br>分析はシャオに任せて、あたしたちは<br>残りを探しましょう。"""
skit01#6,"""/ci1 1 ……知能、付与、改造、原住民。<br>断片的だけど、ヤな情報が見える。<br>これも、当たりみたいね。"""
skit02#4,"""/ci1 1 これで四つ目……あと一つよ。<br>ムカムカする情報だけど<br>きちんと白日の下に晒さないと。"""
skit01#7,"""……知能、付与、改造、原住民。<br>断片的だけど、ヤな情報が見える。<br>これも、当たりみたいね。"""
skit02#5,"""これで四つ目……あと一つよ。<br>ムカムカする情報だけど<br>きちんと白日の下に晒さないと。"""
skit01#8,"""/ci1 1 これが、最後の断片情報ね。<br>……実験とか、披検体とか<br>嫌な単語が飛び交ってるわ。"""
skit02#6,"""/ci1 1 ともあれ、これで十分でしょう。<br>あとはシャオに任せるとして……"""
skit03#0,"""/ci1 1 おい！\u3000あっちに何かあるぞ！<br>端末みたいなものが見える！"""
skit04#0,"""/ci1 1 ……まだ、何か情報があるかも。<br>行ってみましょうか。"""
skit01#9,"""これが、最後の断片情報ね。<br>……実験とか、披検体とか<br>嫌な単語が飛び交ってるわ。"""
skit02#7,"""ともあれ、これで十分でしょう。<br>あとはシャオに任せるとして……"""
skit03#1,"""おい！\u3000あっちに何かあるぞ！<br>端末みたいなものが見える！"""
skit04#1,"""……まだ、何か情報があるかも。<br>行ってみましょうか。"""
