name01#0,"""???"""
name02#0,"""???"""
al_030040_0010#0,"""...Xiera. We've reached the end."""
al_030040_0020#0,"""Yes, <%me>'s story continues to this day, but that's it for the historical record."""
al_030040_0030#0,"""I'm so sorry, <%me>."""
al_030040_0040#0,"""I left you with so much to deal with. If I'd been more solid, then maybe... maybe things wouldn't have gone this way."""
al_030040_0050#0,"""I'm truly sorry. It's all my fault."""
al_030040_0052#0,"""It's not like that."""
al_030040_0054#0,"""It's nobody's fault."""
al_030040_0060#0,"""<%me> is right, you shouldn't feel responsible."""
al_030040_0070#0,"""You said it yourself. This is the future they worked so hard to achieve."""
al_030040_0080#0,"""Of course getting here took a lot of work on Matoi and <%me>'s part."""
al_030040_0090#0,"""But it's the same for you. It's the same for everyone."""
al_030040_0100#0,"""It's thanks to everyone's hard work that we can talk like this right now."""
al_030040_0110#0,"""Xiera..."""
al_030040_0120#0,"""...Oh, sorry, I guess I'm a bit excited. Looking back over all those things like this..."""
al_030040_0130#0,"""...I know what you mean. I'm sorry, I shouldn't have blamed myself like that."""
al_030040_0140#0,"""Thank you, <%me>."""
al_030040_0150#0,"""I know you weren't doing any of it for me, but...<br>I want to thank you, so I'm thanking you now."""
al_030040_0160#0,"""For everything you've done...<br>Thank you so, so, so much."""
