st_046040_0001#0,"""A.D.2028/4/19/13:30"""
st_046040_0010#0,"""후, 후우…… 하하, 하하핫!<br>히츠기, 기운넘치네 히츠기!<br>저번의 인형 상태랑은 전혀 달라!"""
st_046040_0020#0,"""아아, 아아! 즐거워, 즐거운걸……!<br>역시 히츠기랑 같이 있는 게 가장 즐거워!"""
st_046040_0030#0,"""어이, 히츠기…… 알고 있겠지만<br>저녀석 뭔가 이상한데."""
st_046040_0040#0,"""언동은 항상 저랬어."""
st_046040_0050#0,"""……친구는 골라서 사귀어라."""
st_046040_0060#0,"""괜한 참견이야."""
st_046040_0070#0,"""하지만 원래 이상한 애긴 했어도<br>코오리는 그런 애가 아니야……"""
st_046040_0080#0,"""후후, 아하하, 아하하하하하하핫!<br>즐겁네! 히츠기랑 놀 수 있어서<br>정말 즐거워! 헉, 헉!"""
st_046040_0090#0,"""게다가 저 웃음……<br>저건 코오리가……!"""
st_046040_0100#0,"""에스카 다커!<br>칫, 아직 남아있었나!"""
st_046040_0110#0,"""윽!?"""
st_046040_0120#0,"""코오리! 위험해!"""
st_046040_0130#0,"""히츠기!"""
st_046040_0140#0,"""……히츠기?<br>히츠기가 날 구해준 거야?"""
st_046040_0150#0,"""히츠기, 조종당하고 있을텐데……<br>……어째서?"""
st_046040_0160#0,"""……친구니까, 당연하지!"""
st_046040_0170#0,"""친…… 구……!<br>……그래, 나는 히츠기의 친구고<br>항상, 언제나 함께…… 곁에……!"""
st_046040_0180#0,"""……그 이상 생각할 필요는 없다.<br>마음 편히 눈을 감아라."""
st_046040_0190#0,"""오피엘 씨……"""
st_046040_0200#0,"""무리하지마라, 와시노미야 코오리.<br>너를 잃으면 마더가 슬퍼한다."""
st_046040_0210#0,"""그리고…… 아무도 친구를 구할 수 없게 된다."""
st_046040_0220#0,"""……네."""
st_046040_0230#0,"""……넌."""
st_046040_0240#0,"""의식이 있는 자네와 만나는 건 일본 이래인가.<br>애초에 이쪽은 네 신체를 털 끝까지<br>충분히 조사했었지만 말이지."""
st_046040_0250#0,"""나는 오피엘 허버트.<br>마더 클러스터, 수성의 사도다."""
st_046040_0260#0,"""네가…… 코오리한테 뭔가 하고 있구나."""
st_046040_0270#0,"""……오해가 있군.<br>나도 마더도 그녀의 소망을 이루기 위해<br>뒷받침하고 있을 뿐이다."""
st_046040_0280#0,"""그녀는 자네를 되찾고 자네와 함께<br>일상으로 돌아가는 것을 목표로 하고 있지."""
st_046040_0290#0,"""그러므로 나는 괜한 생각을 하지 않을 수<br>있도록 제거해줄 뿐이다."""
st_046040_0300#0,"""그런 걸 조종한다고 하는 거야!!"""
st_046040_0310#0,"""칫! 도망 하나는 잘 치는 녀석이군!"""
st_046040_0320#0,"""……코오리."""
