name01#0,"""近衛兵"""
name02#0,"""？？？"""
st_048030_0001#0,"""A.D.2028/4/24/13:30"""
st_048030_0010#0,"""Gracias por la escolta, <%me>."""
st_048030_0020#0,"""Yo no lo llamaría una recompensa, pero ¿Vamos a pelear una vez antes de salir? parece frustrado."""
st_048030_0030#0,"""Fufu, era sólo una broma. Sé que hay un tiempo y un lugar para estas cosas. Este no es el momento adecuado."""
st_048030_0040#0,"""Sra. Hitsugi, ¿verdad? Ahora tiene una expresión muy decidida. Se siente como una persona completamente diferente de la última vez."""
st_048030_0050#0,"""No sólo la Sra. Hitsugi, sino también los que la rodean... todos ellos tienen Voluntades muy fuertes. Muy humano."""
st_048030_0060#0,"""Aunque estoy segura de que no puedes tomar crédito por todo, porque estabas allí, Es que fueron capaces de hacer esas expresiones determinadas."""
st_048030_0070#0,"""La fuerza de la voluntad de la gente, y la belleza de sus deseos... Me pregunto por qué no puede entender eso."""
st_048030_0080#0,"""A pesar de que la gente de hoy puede avanzar con sus propias manos-"""
st_048030_0090#0,"""¿Un terremoto? ¿En Las Vegas?"""
st_048030_0100#0,"""Ayude...nme... Blarh!!"""
st_048030_0110#0,"""Esto es...<br>...¡Una persona que se convierte en un Phantom?!"""
st_048030_0120#0,"""Qué es lo que has hecho...? Ardem ... ¿Estás diciendo que esta es la evolución que deseas?!"""
