st_055120_0230#0,"""妹、とは傲慢な言い回しだ。<br>君もそう思わないかな？"""
st_055120_0240#0,"""お前は……ルーサー？"""
st_055120_0250#0,"""……どっちのルーサーだ？"""
st_055120_0260#0,"""ふふ……興が冷める質問はよしたまえ。<br>ルーサーは一人、僕は一人さ。<br>あれも、これも、全てが僕だ。"""
st_055120_0270#0,"""……つまり、彼女を護りたいという<br>意志は、もとより僕の内にあるもの。"""
st_055120_0280#0,"""……ちょうど【双子】の中も<br>【深遠なる闇】にも飽いたところだ。<br>君に力を貸すのもやぶさかではない。"""
st_055120_0290#0,"""教授はしない。上手く使い給え。<br>さすれば君は残酷な真実を識るはずだ。<br>……太古の絶望を、ね。"""
st_055120_0300#0,"""ルーサー兄様……！"""
st_055120_0310#0,"""ハリエット、忘れるな。"""
st_055120_0320#0,"""君は……人間だ。"""
st_055120_0330#0,"""はい……！<br>ルーサー、兄様……！"""
st_055120_0340#0,"""その……ハリエット、さん。"""
st_055120_0350#0,"""……大丈夫。私は泣きません。<br>王族は、涙を流さないものですから。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
