st_058170_0010#0,"""……끝났다아아!"""
st_058170_0020#0,"""……끝났군."""
st_058170_0030#0,"""뭐야, 벌써 끝이야?<br>나도 라브리스도<br>아직 한참 덜 날뛰었는데."""
st_058170_0040#0,"""하하, 리이는 여전히<br>혈기왕성하고 힘이 넘치네.<br>난 이제 녹초야."""
st_058170_0050#0,"""……우리의 역할은 끝났다.<br>귀환하자, 마리아."""
st_058170_0060#0,"""아…………"""
st_058170_0070#0,"""……고마워, 기이."""
st_058170_0080#0,"""어이쿠, 손이 미끄러졌네!"""
st_058170_0090#0,"""무슨 짓이냐 마리아."""
st_058170_0100#0,"""정말 손 많이 가는 영감이군.<br>이제 와 부끄러워할 나이도 아니잖아?"""
st_058170_0110#0,"""이야기하는 데 상대 모습이 꼭 필요해?<br>레기아스와 알마의 인연은<br>그 정도로 얕지 않잖아."""
st_058170_0120#0,"""아, 정말.<br>뭔가 부족한데<br>사라나 단련시키러 갈까."""
st_058170_0130#0,"""기이……"""
st_058170_0140#0,"""……모르는 건<br>마리아 쪽이다."""
st_058170_0150#0,"""나와 알마 사이엔 대화조차 필요 없다.<br>……그렇지, 알마?"""
st_058170_0160#0,"""……후훗, 그럴까?<br>여자의 마음은 그렇게 단순하지<br>않을지도 몰라, 레기아스."""
skit01#0,"""The Saviors"""
skit02#0,"""그리하여 영웅은 이곳에 모인다"""
name01#0,"""？？？"""
name02#0,"""？？？"""
