un_059010_0010#0,"""어, 알마 씨?"""
un_059010_0020#0,"""오, <%me><br>2대째도 함께네.<br>사이좋아 보여서 부럽다."""
un_059010_0030#0,"""함교에 없어도 괜찮아?"""
un_059010_0040#0,"""누구 찾고 있어?"""
un_059010_0050#0,"""함교에만 있어야 하는 건<br>아니니까."""
un_059010_0060#0,"""뭐, 사실 거기 말고는<br>나와 이야기할 수 있는 사람이 없으니<br>정말 산책만 하는 중이지만."""
un_059010_0070#0,"""아냐, 아냐.<br>그냥 기분 전환 삼아 걷는 거야."""
un_059010_0080#0,"""누굴 찾고 있다고 해도<br>만나 봤자 이야기할 수 없으니까.<br>그래선 소용없잖아."""
un_059010_0090#0,"""아, 그렇구나.<br>우리 말고는<br>알마 씨가 안 보였지."""
un_059010_0100#0,"""응, 그런 거지.<br>게다가 내가 있던 때로부터<br>벌써 40년이나 지났잖아."""
un_059010_0110#0,"""이렇게 둘러보기만 해도<br>제법 재미있어."""
un_059010_0120#0,"""참고로 두 사람.<br>말했듯이 나는<br>다른 사람 눈에는 보이지 않습니다."""
un_059010_0130#0,"""그러니까 지금 두 사람은<br>아무것도 없는 허공에 말을 걸고 있어.<br>누가 봐도 이상한 사람들이지."""
un_059010_0140#0,"""……여기도 없나."""
