un_059040_0001#0,"""A.P.241/12/5"""
un_059040_0010#0,"""알마 씨, 뭐 보고 있어?"""
un_059040_0020#0,"""우왓!?"""
un_059040_0030#0,"""아, 아무것도 아니야!<br>그럼 나는 밖에서 잠깐<br>느긋하게 쉬고 올까."""
un_059040_0040#0,"""앗, 가 버렸네.<br>……뭘 보고 있었을까?"""
un_059040_0050#0,"""아크스의 역사?"""
un_059040_0060#0,"""세계 정세?"""
un_059040_0070#0,"""후후후, 궁금하시죠.<br>두 분도 궁금하시죠."""
un_059040_0080#0,"""우왓!?<br>시, 시에라?"""
un_059040_0090#0,"""40년 전의 전설적인 존재.<br>초대 클라리스 클레이스, 알마 씨.<br>알마 씨가 무엇에 관심을 가졌을까요."""
un_059040_0100#0,"""저라면 어떤 기록을 봤는지 확인할 수 있어요!<br>두 분이 원하신다면 언제든지요!"""
un_059040_0110#0,"""시에라."""
un_059040_0120#0,"""……적당히 해."""
un_059040_0130#0,"""엿보기에 적당히가 어디 있어!<br>말려야지, 샤오!"""
un_059040_0140#0,"""시에라도<br>바로 행동에 옮기지 마!"""
un_059040_0150#0,"""이건……"""
un_059040_0160#0,"""레기아스 씨와 마리아 씨의<br>출격 기록……?"""
un_059040_0170#0,"""샤오.<br>어떻게 안 될까요?"""
un_059040_0180#0,"""……나도 못 하는 일은 있어.<br>아카식 레코드를 눈에 보이게 하거나<br>직접 접촉하는 일이 대표적이지."""
un_059040_0190#0,"""하지만 이대로면<br>알마 씨가 가엾어."""
un_059040_0200#0,"""지금도 아크스를 위해<br>애쓰고 있는데……"""
un_059040_0210#0,"""……그렇다면!<br>저희가 어떻게든 해 봐요!<br>괜찮죠, 샤오!"""
un_059040_0220#0,"""나도 알마가<br>싫은 건 아니야.<br>자유롭게 해 봐."""
un_059040_0230#0,"""……단, 일을 크게 만들지는 마.<br>알마도 바라지 않을 테니까."""
