un_050030_0001#0,"""A.P.241/10/2"""
un_050030_0010#0,"""아, <%me> 씨!<br>안녕하세요!"""
un_050030_0020#0,"""바쁘신데도<br>제 이야기를 들어 주셔서……<br>정말 감사합니다!"""
un_050030_0030#0,"""지난번에는<br>전투 경험만 여쭙고 끝나서<br>정말 죄송했습니다."""
un_050030_0040#0,"""하지만 그 덕분에<br>마침내 승인됐어요!<br>제가 연구하던 새 클래스가요!"""
un_050030_0050#0,"""방금 클래스 카운터에도<br>정보가 등록됐으니<br>조건을 갖추면 히어로가 될 수 있어요!"""
un_050030_0060#0,"""아니, 그러니까요.<br>클래스로 승인됐으니<br>히어로가 될 수 있어요!"""
un_050030_0070#0,"""아, 맞다!<br>지난번에 <%me> 씨께<br>말씀드리는 걸 잊었어요!"""
un_050030_0080#0,"""제가 연구해 온 끝에 이제야<br>승인을 받은 새 클래스……<br>그 이름은 히어로입니다!"""
un_050030_0090#0,"""……뭐라고?"""
un_050030_0100#0,"""히어로?"""
un_050030_0110#0,"""히어로라고 합니다!"""
un_050030_0120#0,"""네!<br>히어로예요!"""
un_050030_0130#0,"""이, 이상한 이름인가요?<br>이것밖에 없다고 생각했는데……"""
un_050030_0140#0,"""자, 보세요.<br>소드를 이렇게 쓰는 거예요.<br>정말 멋지지 않나요?"""
un_050030_0150#0,"""트윈 머신건도 히어로가 쓰면<br>이렇게 새로운 무기로 단숨에 바뀌어요!"""
un_050030_0160#0,"""게다가 이번에는 무려<br>탈리스까지 독특하게 다루는 법을 익혀<br>하나의 클래스에서 모두 다뤄요!"""
un_050030_0170#0,"""이건 히어로라고 부를 수밖에<br>없잖아요?<br>그렇잖아요!"""
