un_057010_0010#0,"""Ahaha, ahahah! What is this place? It's soooo big and fun!"""
un_057010_0020#0,"""Woooow! No matter how far you go, you always come right back!"""
un_057010_0030#0,"""Cut it out already, stop messing around like that! Don't you realize you're annoying everyone around you?!"""
un_057010_0040#0,"""Aw, but I'm not doing anything."""
un_057010_0050#0,"""You sure are a noisy old lady."""
un_057010_0060#0,"""Old...?!"""
un_057010_0070#0,"""Hahaha, what an accurate descriptor. It seems children really are the truth's mouthpiece."""
un_057010_0080#0,"""Shaddap, you sore loser. Make like [Elder] and book it somewhere else."""
un_057010_0090#0,"""...Now look here, you two. You know that some things are acceptable to say, and some things aren't, right?"""
un_057010_0100#0,"""Acceptable or not, aren't I right?"""
un_057010_0110#0,"""Aren't I? Aren't I?"""
un_057010_0120#0,"""...It seems there are some naughty children that need to be taught some proper manners!"""
un_057010_0130#0,"""Waaah, the old lady's angry!"""
un_057010_0140#0,"""Run away! Run away!"""
un_057010_0150#0,"""Get back here!"""
un_057010_0160#0,"""Shut up"""
un_057010_0170#0,"""Be quiet"""
un_057010_0180#0,"""The one in charge here is <%me>. You wouldn't want to anger them, now would you?"""
un_057010_0190#0,"""They're angry."""
un_057010_0200#0,"""They're angry because of that old lady."""
un_057010_0210#0,"""It's because of you twerps!"""
un_057010_0220#0,"""We didn't do anything."""
un_057010_0230#0,"""The old lady started messing around."""
un_057010_0240#0,"""You have the gall to say that?!"""
un_057010_0250#0,"""Shut up, Marge"""
un_057010_0260#0,"""Be quiet, Marge"""
un_057010_0270#0,"""You're making this my fault?!"""
un_057010_0280#0,"""Ahahaha!"""
un_057010_0290#0,"""Ahahaha!"""
name01#0,"""Margareta"""
name02#0,"""Frau"""
