st_061040_0001#0,"""A.P.242/2/15/11:00"""
st_061040_0010#0,"""어라, 알마 씨?"""
st_061040_0020#0,"""아, 모두, 어서 와...<br>상담은 끝난 느낌이려나?"""
st_061040_0030#0,"""알마 씨, 괜찮으세요?<br>꽤나 상태가 안 좋은 것 같으신데"""
st_061040_0040#0,"""가능하다면 강한척 하고 싶었지만<br>완전히 그 말 대로야."""
st_061040_0050#0,"""상-태-가-너-무-안-좋-아...<br>마치 옛날에 싸우고 난 이후 같아. 그립네..."""
st_061040_0060#0,"""음... 요전에 그 시바라는 아이가<br>왔을 때, 무슨 수라도 쓴 걸까나...?"""
st_061040_0070#0,"""아니면, 내가 한 일 때문이려나...<br>포톤의 흡수를 막는 벽을 설치했었으니<br>그것이 그대로 돌아오고 있는 걸지도..."""
st_061040_0080#0,"""으, 와, 앗!<br>사, 사라지거나 하는 건 아니시겠죠?"""
st_061040_0090#0,"""아아, 괜찮아, 괜찮아<br>그렇게까지는 심각하지 않은 느낌이야.<br>...나아질지는 모르겠지만."""
st_061040_0100#0,"""아뇨, 그건 꽤나 심각하잖아요!"""
st_061040_0110#0,"""하하하하.<br>서둘러도 어쩔 수 없어, 이런 건<br>...천천히 치료하면 되니까, 느긋하게 말이야"""
st_061040_0120#0,"""하지만 둘 다한테, 미안해.<br>지금 무리해서 사라지는 것은 곤란하니까<br>당분간 나는 전력 외일지도."""
st_061040_0130#0,"""너무 무리하셨어요"""
st_061040_0140#0,"""편히 쉬세요"""
st_061040_0150#0,"""응. 그렇게 말하니<br>그 제안을 받아들여서 좀 쉬어볼까나."""
