un_061160_0010#0,"""……젠장！<br>시바라는 녀석, 대체 뭐냐고！"""
un_061160_0020#0,"""저건 너무 치사하잖아.<br>포톤이 통하지 않는다니……"""
un_061160_0030#0,"""선배도 다른 사람들도<br>그렇게 열심히 싸웠는데<br>상대가 되지도 않았어……"""
un_061160_0040#0,"""선배……<br>나, 너무 분해……"""
un_061160_0050#0,"""또 지키지 못했어……<br>내 힘으로는 아무것도 할 수 없었어.<br>어떻게 했어야 했을까……"""
un_061160_0060#0,"""어떻게든 할 거야"""
un_061160_0070#0,"""모두 할 수 있는 건 다 했어"""
un_061160_0080#0,"""고마워, 선배.<br>그 말……정말 안심돼."""
un_061160_0090#0,"""그런가……<br>아니, 분명 할 수 있는 건 다 했어.<br>그래도 상대가 되지 않았을 뿐이야."""
un_061160_0100#0,"""……나, 포기하지 않을게.<br>분명 아직 할 수 있는 일이 있지？<br>나도 할 수 있는 게 있을 거야."""
un_061160_0110#0,"""명령받는 대로 움직이는 게 아니라<br>내 눈으로 보고 생각해서, 내 손으로<br>후회하지 않을 선택을 하고 싶어."""
un_061160_0120#0,"""내 힘은<br>아주 작을지도 모르지만……<br>스스로 생각해서 끝까지 해 볼게."""
un_061160_0130#0,"""선배한테 조금이라도<br>칭찬받을 수 있게 말이야……"""
un_061160_0140#0,"""아, 아, 아니거든！<br>그런 뜻이 아니거든！"""
un_061160_0150#0,"""……그, 그럼 나는<br>할 수 있는 일을 찾으러 갈게！<br>또 보자, 선배！"""
