Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 1 Yes, yes! I'm here too! So, how do you want to tackle this?"""
Success#1,"""/ci1 2 Shiva is very dangerous, but don't forget that there are people here waiting for you to return."""
Failure#1,"""Sorry, you two. Good luck..."""
Dead#1,"""Sorry, Io...<br>They're in your hands now..."""
BuddyDead#1,"""You did your best, Io...<br>Looks like it's up to me to take Io's share of them as well!"""
