st_065110_0130#0,"""…!<br>세계에서 <%me>씨의<br>흔적이 사라지고 있어…!?"""
st_065110_0135#0,"""엣?<br>갑자기 왜 그래 하리엣!<br>수호휘사에게 무슨 일이 생긴거야!?"""
st_065110_0140#0,"""모르겠어요…<br>하지만 설마…!"""
st_065110_0150#0,"""그 설마인가보네.<br>저 바보녀석, 혼자서 전부 어떻게들 할 생각인가봐."""
st_065110_0155#0,"""라니, 에에에엣!<br>하리엣! 저거, 저거!"""
st_065110_0160#0,"""당신은…"""
st_065110_0165#0,"""원신님!"""
st_065110_0170#0,"""이번에야 말로 푹 잠에 들 생각이였는데<br>요 녀석이 두들겨 깨워서 말야."""
st_065110_0180#0,"""읏…!<br>바르나…!?"""
st_065110_0185#0,"""잠깐, 당신!<br>요전에 패배한지 얼마 안된 주제에<br>또 뭐하러 온거야!"""
st_065110_0190#0,"""…이제 와서 무슨 말을 하더라도<br>그건 무의미할 거예요.<br>허나, 행동으로 올바름을 보여줄 뿐."""
st_065110_0200#0,"""그러니 하리엣님.<br>이 자리는 저에게 맡기고 가세요.<br>자신이 하고 싶은 일을 하세요."""
st_065110_0210#0,"""하리엣님을 위해 모시는 일이야말로<br>저의… 바르나의 목적입니다."""
st_065110_0220#0,"""…고마워요. 바르나."""
name01#0,"""초대 클라리스 클레이스"""
name02#0,"""？？？"""
