un_062050_0010#0,"""Bravo, Kiku-hime! Your martial arts are truly a work of art...!"""
un_062050_0020#0,"""Greetings, my friend! I'm so glad to see you."""
un_062050_0030#0,"""There's no need for concern. These injuries were sustained during Kiku-hime's training, they are irreplaceable gifts."""
un_062050_0040#0,"""I cherish everything I receive from my beloved children, even the bruises."""
un_062050_0050#0,"""She's speaking to you. Pleased to meet you, I am Kiku-hime. Meeting with you is a great honor."""
un_062050_0060#0,"""Kiku-hime is courteous and refined, and cares greatly for her companions!"""
un_062050_0070#0,"""She's prone to worrying, but very affectionate. When I am tired, she provides a tender massage. Would you be so kind, Kiku-hime?"""
un_062050_0080#0,"""Ada! Adadadada!"""
un_062050_0085#0,"""You needn't focus so unrelentingly on my abdomen... adadada!"""
un_062050_0090#0,"""...Ghah! My... how effective a solar plexus massage is! My body is covered in a cold sweat...!"""
un_062050_0100#0,"""I've been tenderized by her tenderness! Well, my friend? Is she not the most kindhearted?"""
un_062050_0110#0,"""It looked like she was hurting you."""
un_062050_0120#0,"""She really likes you."""
un_062050_0130#0,"""It was a massage! It has relaxed my muscles, removed my exhaustion, and reforged my body."""
un_062050_0140#0,"""And I love her. Because I can tell how deeply she cares for me."""
un_062050_0150#0,"""To be able to experience this overflowing affection in a deluge of blows, I am truly blessed!"""
un_062050_0160#0,"""The way she flows from one strike to the next... So elegant! So beautiful! Truly, she is a martial artiste!"""
un_062050_0170#0,"""Hahaha, see how modest she is. She's saying, your praise is too much. It was nothing worthy of such acclamation."""
un_062050_0180#0,"""What do you say, my friend? Would you like to witness Kiku-hime's beauteous barrage firstha- ghoh!"""
un_062050_0190#0,"""Wait, not yet... idadada! Calm dow- adadadada!"""
un_062050_0200#0,"""Such eagerness! But wait a secondndndndndnd!<br>I'll die... gwoahuh!"""
