st_065110_0330#0,"""¡<%me>!"""
st_065110_0331#0,"""¡Estupid@!..."""
st_065110_0332#0,"""¡Imbécil!..."""
st_065110_0340#0,"""¡Dijimos que no haríamos eso!, ¡Nos prometimos que estariamos juntos!"""
st_065110_0350#0,"""¿No estuvimos de acuerdo?, ¡No hay forma de que me dejes atrás!"""
st_065110_0360#0,"""...Me niego. Nunca aceptaré esto."""
st_065110_0370#0,"""Incluso si eso causa que la historia se deshaga..."""
st_065110_0380#0,"""Incluso si niegas la historia..."""
st_065110_0390#0,"""...¡No te dejaré ir!"""
st_065110_0400#0,"""¡Este no puede ser el final!..., No lo haré... ¡Nunca, nunca lo aceptaré!"""
st_065110_0410#0,"""...Si, tienes toda la razón."""
st_065110_0420#0,"""¿Xion?..."""
st_065110_0430#0,"""Negaría la historia... El Akashic Record... Una negación de mi propia existencia."""
st_065110_0440#0,"""¡No se debe permitir un mundo sin <%me>!"""
