name_7439#0,"""아카츠키"""
ssn_015320_0001#0,"""안녕, 센트럴에서 왔다는“별을 건너는 자”가<br>바로 너구나."""
ssn_015320_0002#0,"""나도 스티아에서 오래 지냈으니,<br>가능한 만큼 협력해 줘."""
ssn_015320_0101#0,"""오, 잘 왔어."""
ssn_015320_0102#0,"""너하고는 한 번<br>진득하게 얘기해 보고 싶었거든."""
ssn_015320_0103#0,"""난 아카츠키. 이 선발대에서<br>전투단 제1소대의 대장을 맡고 있어."""
ssn_015320_0104#0,"""네 얘기는 브루더한테<br>자주 들었어."""
ssn_015320_0105#0,"""브루더하고는 옛날부터 알고 지냈거든.<br>그 녀석이 풋내기였던 시절부터 알게 됐어."""
ssn_015320_0106#0,"""그 녀석이 높이 평가하는 아크스의<br>실력이 어느 정도인지 관심이 생겨서."""
ssn_015320_0107#0,"""딱 좋은 의룃감이 있거든.<br>괜찮다면 들어줘."""
ssn_015320_0201#0,"""드라이젠 플랜트에서<br>“스카우트 와스프”를 쓰러트려 줘."""
ssn_015320_0202#0,"""증원을 부르기 전에<br>단숨에 파괴하는 게 정석이야."""
ssn_015320_0203#0,"""어느 정도의 성과를 올릴지<br>기대하고 있을게."""
ssn_015320_0301#0,"""그렇군…….<br>시간이 생기면 또 와."""
