name_7442#0,"""Chitose"""
ssn_015471_0010#0,"""โอ้ ว่าง่ายจัง! ขอบใจนะ"""
ssn_015471_0020#0,"""เอาล่ะ เรื่องที่จะขอให้ช่วย"""
ssn_015471_0030#0,"""ช่วยกวาดล้างศัตรูบางส่วนใน เอ่อ Mediola... เขต 2 หรืออะไรนั่นให้หน่อยได้ไหม?"""
ssn_015471_0040#0,"""ศัตรูแถวนั้นสร้างความลำบากให้ฉันมากเลยล่ะ เห็นไหมล่ะ ฉันเลยทำงานสืบสวนไม่เสร็จสักที..."""
ssn_015471_0050#0,"""ก็คือแบบว่า นอกจากเรื่องนั้นแล้ว ฉันก็อยากจะดูนายสู้อีกครั้งนึงด้วย!"""
ssn_015471_0060#0,"""ฉันอยากจะแข็งแกร่งขึ้นน่ะ เข้าใจไหม?"""
ssn_015471_0070#0,"""แน่นอนว่า ตอนนี้ฉันอาจจะทำหน้าที่ลาดตระเวนหรืออะไรทำนองนั้นอยู่ แต่สักวันนึงฉันอยากจะเป็นสมาชิกของหน่วยรบให้ได้"""
ssn_015471_0080#0,"""เพราะงั้นแหละ ฉันเลยอยากเห็นวิธีการต่อสู้ของนาย จะได้จดโน้ตแล้วก็อะไรอีกหลายๆ อย่าง"""
ssn_015471_0090#0,"""รู้จักคุณ Shirayuki ผู้บัญชาการหมวด 3 ไหม? เธอแข็งแกร่งม๊ากมาก ฉันล่ะนับถือเธอสุดๆ ไปเลย"""
ssn_015471_0100#0,"""แต่ว่านะ... จากที่เห็นมา นายอาจจะแข็งแกร่งกว่าก็ได้ อื้อฮึ"""
ssn_015471_0110#0,"""เอาเถอะ ก็ตามนั้นแหละ เลิกบ่นละ ขอบใจที่ช่วยนะ!"""
