name_7664#0,"""Hounyan"""
ssn_011161_0010#0,"""หึหึหึ ดีมาก"""
ssn_011161_0020#0,"""...เดี๋ยวก่อน คลาสของเธอไม่ใช่ Force งั้นเหรอ?"""
ssn_011161_0030#0,"""ถ้าอยากเรียนรู้วิธีต่อสู้ ไปที่ Class Counter แล้วเปลี่ยนคลาสเป็น Force ซะก่อนสิ"""
ssn_011161_0040#0,"""อย่าลืมเรียนรู้ Class Skill ของ Force ด้วยล่ะ"""
ssn_011161_0050#0,"""เอาล่ะ บางทีฉันควรจะอธิบายสักหน่อยก่อนนะ"""
ssn_011161_0060#0,"""Force คือคลาสที่ใช้ Technique ในการโจมตีศัตรูจากระยะไกล"""
ssn_011161_0070#0,"""แก่นแท้ของสไตล์การต่อสู้คือความสามารถในการโจมตีจุดอ่อนธาตุของศัตรู"""
ssn_011161_0080#0,"""Class Skill ของคลาสนี้สามารถเพิ่มปริมาณ Photon ที่เก็บไว้ในร่างกาย หรือเพิ่มความเร็วในการฟื้นฟู Photon หลังจากที่ใช้ไปแล้วได้"""
ssn_011161_0090#0,"""ในฐานะมือใหม่...<br>เธอน่าจะอยากทำความคุ้นเคยกับการใช้ 'Photon Flare' ก่อนนะ"""
ssn_011161_0100#0,"""ฉันจะมอบหมายภารกิจฝึกฝนให้ ลองเอาสิ่งที่ฉันสอนไปใช้ดูล่ะ"""
