Begin_7002001_b#0,"""/ci1 2 Aina เน้นการยิงสนับสนุนไปนะ!"""
Success_7002001_b#0,"""/ci2 1 ขอบใจที่ช่วยนะ ไว้มาสู้ด้วยกันอีกนะ"""
Failure_7002001_b#0,"""/ci1 3 เราไม่ควรตามพวกมันไปนะ"""
Begin_7002012_b#0,"""/ci1 2 Aina เน้นการยิงสนับสนุนไปนะ!"""
Success_7002012_b#0,"""/ci2 1 ขอบใจที่ช่วยนะ ไว้มาสู้ด้วยกันอีกนะ"""
Failure_7002012_b#0,"""/ci1 3 เราไม่ควรตามพวกมันไปนะ"""
Begin_7005001_b#0,"""/ci1 1 ดูเหมือนเราจะไม่มีทางเลือกแล้วล่ะ"""
Success_7005001_b#0,"""/ci2 1 ซาบซึ้งใจมากเลย ขอบใจนะ"""
Failure_7005001_b#0,"""/ci1 5 พวกเราเองก็น่าจะรีบออกไปจากที่นี่เหมือนกันนะ"""
Begin_7013001_b#0,"""/ci1 1 ฉันเองก็คงต้องขอความช่วยเหลือจากเธอเหมือนกัน"""
Success_7013001_b#0,"""/ci1 4 Ilma ฉันบอกแล้วไม่ใช่เหรอว่าอย่าวิ่งนำหน้าไปน่ะ?"""
Failure_7013001_b#0,"""/ci1 3 เมื่อพิจารณาดูจากทุกอย่างแล้ว มันน่าจะแย่ได้กว่านี้นะ"""
