name_7449#0,"""Shioji"""
ssn_015514_0010#0,"""ขอบใจนะ!"""
ssn_015514_0020#0,"""คือว่า มีข่าวลือแปลกๆ เกี่ยวกับแร่ชนิดนึงอยู่น่ะ"""
ssn_015514_0030#0,"""แร่นั้นมีชื่อว่า 'Inferium'"""
ssn_015514_0040#0,"""เห็นว่ามีคนไปเจอที่บริเวณที่เรียกว่า Outer Mediola: Sector 1 ด้วยล่ะ"""
ssn_015514_0050#0,"""ฉันอยากได้ข้อมูลของมันน่ะ"""
ssn_015514_0060#0,"""ก็แค่... ไม่รู้ทำไมเหมือนกัน แต่ดูเหมือนจะไม่ได้เก็บกันได้ง่ายๆ ทุกเวลานะ"""
ssn_015514_0070#0,"""บางคนบอกว่ามันเกี่ยวกับสภาพอากาศ แต่ก็ยังไม่ได้รับการยืนยันหรอกนะ"""
ssn_015514_0080#0,"""กว่าจะเจอก็คงต้องลำบากหน่อยล่ะ"""
ssn_015514_0090#0,"""รู้ว่ามันอาจจะลำบากไปหน่อย แต่ถ้าเป็นเธอล่ะก็ ฉันเชื่อว่าจะต้องทำสำเร็จแน่"""
ssn_015514_0100#0,"""ฝากด้วยนะ"""
