name_7451#0,"""Victoria"""
ssn_016100_0001#0,"""I'm sorry, darlin'. I've got my hands full at the moment..."""
ssn_016100_0002#0,"""We'll have to catch up some other time, 'kay?"""
ssn_016100_0101#0,"""Hiiii! Welcome!"""
ssn_016100_0102#0,"""Looks like you've taken an interest in the game I told you about!"""
ssn_016100_0103#0,"""It's a type of game that you play by using cards, you see."""
ssn_016100_0104#0,"""It's called Line Strike!"""
ssn_016100_0105#0,"""They say someone just stumbled across it in the City's database."""
ssn_016100_0106#0,"""If you're of the mind to play, why not give it a try?"""
ssn_016100_0201#0,"""Hiiii! Welcome!"""
ssn_016100_0202#0,"""Have you been enjoying Line Strike?"""
npc_menu_0001#0,"""Accept Tasks"""
npc_menu_0002#0,"""Ask about Line Strike"""
npc_menu_0003#0,"""Close Menu"""
npc_menu_0004#0,"""About Line Strike NPCs"""
npc_menu_0005#0,"""About Line Strike Decks"""
npc_menu_0006#0,"""About Line Strike Game Rules"""
npc_menu_0007#0,"""About Line Strike Battle Rule Categories"""
npc_menu_0008#0,"""About Card Scratches"""
npc_menu_0009#0,"""Never mind"""
npc_menu_0010#0,"""Line Strike Card Recycle"""
npc_menu_0011#0,"""Line Strike Card Exchange"""
