name_7718#0,"""Wallace"""
ssn_014500_0001#0,"""ขอบใจสำหรับข้อมูลภาพนะ จะเก็บรักษาไว้อย่างดีเลย"""
ssn_014500_0002#0,"""ขอบใจนะ สนุกดีที่ได้ย้อนความหลัง ดูแลตัวเองด้วยล่ะ"""
ssn_014500_0101#0,"""อ้อ เธอนั่นเอง จังหวะดีเลย"""
ssn_014500_0102#0,"""ขอบใจเธอเลยนะ ที่ทำให้เรากำจัด Lenus Retem ได้... แต่พวก DOLLS ก็ยังไม่หยุดโจมตีหรอก"""
ssn_014500_0103#0,"""ฉันก็เลยยังทิ้งตรงนี้ไปไหนไม่ได้"""
ssn_014500_0104#0,"""ก็เลยเป็นหน้าที่ของเธอไงล่ะ"""
ssn_014500_0201#0,"""อยากเห็นจังเลยว่าวิวจากยอด Luf Maqaad จะเป็นยังไง"""
ssn_014500_0202#0,"""ได้ยินมาว่าที่นั่นยังมี DOLLS ยั้วเยี้ยไปหมด ระวังตัวด้วยล่ะ"""
ssn_014500_0301#0,"""เอาล่ะ มุ่งหน้าไปที่ Trinitas เลย"""
ssn_014500_0302#0,"""แต่ไม่ต้องรีบหรอกนะ ไปตอนไหนที่ว่างก็ได้"""
ssn_014500_0401#0,"""อ่า แย่จัง ไว้เจอกันใหม่นะ"""
ssn_014500_0501#0,"""ขอบใจสำหรับข้อมูลภาพนะ ขอโทษด้วยที่ทำให้ต้องวิ่งวุ่นไปทั่วเลย"""
ssn_014500_0502#0,"""ไว้จะตอบแทนให้ทีหลังนะ ดูแลตัวเองด้วยล่ะ"""
