Begin#0,"""/ci1 1 Oh, well hello there. Think you could lend me a hand here?"""
Success#0,"""/ci2 1 ...Thanks for the help. Good luck out there."""
Failure#0,"""/ci4 3 Things are looking bad! Sorry, I'm going to withdraw."""
Dead#0,"""/ci5 3 No... Not like this..."""
Begin_v2#0,"""/ci1 1 Oh, well hello there. Think you could lend me a hand here?"""
Success_v2#0,"""/ci2 1 ...Thanks for the help. Good luck out there."""
Failure_v2#0,"""/ci4 3 Things are looking bad! Sorry, I'm going to withdraw."""
Dead_v2#0,"""/ci5 3 No... Not like this..."""
Begin_7002001#0,"""/ci1 2 Why are there so many..."""
Success_7002001#0,"""/ci2 1 Phew... We managed to win."""
Failure_7002001#0,"""/ci4 3 Ngh... I've taken too many hits. I'm going to head to safety, okay?"""
Dead_7002001#0,"""/ci4 3 No... Not here..."""
BuddyDead_7002001#0,"""/ci4 3 No... Not here..."""
Begin_7002001_v3#0,"""/ci1 2 Why are there so many..."""
Success_7002001_v3#0,"""/ci2 1 Phew... We managed to win."""
Failure_7002001_v3#0,"""/ci4 3 Ngh... I've taken too many hits. I'm going to head to safety, okay?"""
Dead_7002001_v3#0,"""/ci4 3 No... Not here..."""
BuddyDead_7002001_v3#0,"""/ci4 3 No... Not here..."""
Begin#1,"""/ci1 2 Hey, you over there! Think you could lend a hand?"""
Success#1,"""/ci2 1  Yeah, that's what I thought. Thanks, you really help--... N-No, it's nothing!"""
Failure#1,"""/ci5 3 Nooo! We were so close...!"""
Dead#1,"""/ci5 3 No... Not like this..."""
Begin_v2#1,"""/ci1 1 Oh, well hello there. Think you could lend me a hand here?"""
Success_v2#1,"""/ci2 1 ...Thanks for the help. Good luck out there."""
Failure_v2#1,"""/ci4 3 Things are looking bad! Sorry, I'm going to withdraw."""
Dead_v2#1,"""/ci5 3 No... Not like this..."""
Begin_7694001#0,"""/ci1 1 Oh, look who it is. What great timing! """
Success_7694001#0,"""/ci2 3 Heheh, mission complete! With us here, was there ever any doubt?"""
Failure_7694001#0,"""/ci4 2 Agh, we failed... We'll knock 'em down for sure next time!"""
Dead_7711001#0,"""/ci4 3 No... Not here..."""
BuddyDead_7711001#0,"""/ci4 3 No... Not here..."""
Begin_7712001_v3#0,"""/ci1 1 Enemies! Well, I guess that's my cue!"""
Success_7712001_v3#0,"""/ci2 3 Of course we won! Were you watching my moves?"""
Failure_7712001_v3#0,"""/ci4 2 Ah! I let 'em get away...! Isn't this gonna hurt my image?!"""
Dead_7712001_v3#0,"""/ci4 3 No... Not here..."""
BuddyDead_7712001_v3#0,"""/ci4 3 No... Not here..."""
Begin#2,"""/ci1 2 Hey, you over there! Think you could lend a hand?"""
Success#2,"""/ci2 1 Yeah, that's what I thought. Thanks, you really help--... N-No, it's nothing!"""
Failure#2,"""/ci5 3 Nooo! We were so close...!"""
Dead#2,"""/ci5 3 No... Not like this..."""
Begin_v2#2,"""/ci1 1 Oh, well hello there. Think you could lend me a hand here?"""
Success_v2#2,"""/ci2 1 ...Thanks for the help. Good luck out there."""
Failure_v2#2,"""/ci4 3 Things are looking bad! Sorry, I'm going to withdraw."""
Dead_v2#2,"""/ci5 3 No... Not like this..."""
Begin_7694001#1,"""/ci1 1 Oh, look who it is. What great timing! """
Success_7694001#1,"""/ci2 3 Heheh, mission complete! With us here, was there ever any doubt?"""
Failure_7694001#1,"""/ci4 2 Agh, we failed... We'll knock 'em down for sure next time!"""
Dead_7711001#1,"""/ci4 3 No... Not here..."""
BuddyDead_7711001#1,"""/ci4 3 No... Not here..."""
Begin_7712001#0,"""/ci1 1 Enemies! Well, I guess that's my cue!"""
Success_7712001#0,"""/ci2 3 Of course we won! Were you watching my moves?"""
Failure_7712001#0,"""/ci4 2 Ah! I let 'em get away...! Isn't this gonna hurt my image?!"""
Dead_7712001_v3#1,"""/ci4 3 No... Not here..."""
BuddyDead_7712001_v3#1,"""/ci4 3 No... Not here..."""
