TrialName_1Enemy#0,"""ปราบศัตรูใน Raid Field"""
TrialName_1Enemy_normal#0,"""ปราบศัตรูใน Raid Field"""
TrialBeginMsg_1Enemy#0,"""<yellow>หลบหลีก<c> อาวุธของศัตรูที่พุ่งเข้ามาและกำจัด $(0)!"""
TrialAbstract_1Enemy#0,"""กำจัด $(0)"""
TrialName_Multi#0,"""ปราบศัตรูใน Raid Field"""
TrialBeginMsg_Multi#0,"""<yellow>หลบหลีก<c> อาวุธของศัตรูที่พุ่งเข้ามาและกำจัดศัตรู!"""
TrialAbstract_Multi#0,"""กำจัดศัตรู"""
NpcComOnForetasteNGS2#0,"""อ๊ะ... ตรวจพบศัตรูที่มีลักษณะเฉพาะ! โปรดช่วยเรารวบรวมข้อมูลเพิ่มเติมด้วย"""
NpcComOnSuccessNGS2#0,"""สมกับเป็น <%me> เลย ขอบใจที่มาช่วยจัดการ Raid ครั้งนี้นะ"""
NpcComOnFailureNGS2#0,"""ยืนยันการล่าถอยของศัตรู... ช่างมันเถอะ ไปกันต่อดีกว่า!"""
NpcComOnForetaste#0,"""รอยแยกมิติ (Dimensional Rip) ปรากฏขึ้นแล้ว! ระวังตัวด้วย!"""
NpcComOnBegin#0,"""อาวุธศัตรูทะลักออกมาจากรอยแยก! ถ้าหลบได้ล่ะก็ อาจจะชิงความได้เปรียบมาได้นะ!"""
NpcComOnSuccess#0,"""ยืนยัน กำจัดศัตรูได้แล้ว! รอยแยกมิติ (Dimensional Rip) ก็หายไปแล้วเหมือนกัน ทำได้ยอดเยี่ยมมาก!"""
NpcComOnFailure#0,"""\\dummy"""
