CorrectionAssignMapTitle#0,"""Recuperación de la asignación de botones"""
CorrectionAssignMapMessage#0,"""Se ha detectado un problema con la asignación de botones vitales, como el boton 'Decidir' o 'Cancelar'. Esto se ha reparado automáticamente."""
Title#0,"""Opciones"""
Category_Game#0,"""Configuración básica"""
Category_Game_Hint#0,"""Configura los ajustes relacionados con la cámara y los ajustes básicos del juego."""
Category_Device#0,"""Ajustes de control"""
Category_Device_Hint#0,"""Configurar los ajustes relacionados con el teclado, el ratón y los controles de <%GamePad>."""
Category_Sound#0,"""Ajustes de sonido"""
Category_Sound_Hint#0,"""Configurar los ajustes relacionados con el sonido."""
Category_Graphics#0,"""Ajustes de vídeo"""
Category_Graphics_Hint#0,"""Configurar los ajustes gráficos de la pantalla."""
SubCategory_GameFunction#0,"""Funciones del juego"""
SubCategory_GameFunction_Hint#0,"""Configurar varias funciones relacionadas con el juego."""
SubCategory_Camera#0,"""Ajustes de la cámara"""
SubCategory_Camera_VITA#0,"""Ajustes de la cámara"""
SubCategory_Camera_Hint#0,"""Configurar los ajustes relacionados con la cámara."""
SubCategory_TextEffect#0,"""Configuración de la visualización del texto"""
SubCategory_TextEffect_Hint#0,"""Configurar los tamaños de visualización del texto en el juego para el daño, la EXP y la adquisición de objetos."""
SubCategory_Notice#0,"""Configuración de las notificaciones"""
SubCategory_Notice_Hint#0,"""Configurar los ajustes de las notificaciones."""
SubCategory_Talk#0,"""Configuración del chat"""
SubCategory_Talk_Hint#0,"""Configurar los ajustes del chat."""
SubCategory_Capture#0,"""Configuración de capturas de pantalla"""
SubCategory_Capture_Hint#0,"""Configurar los ajustes de la función de captura de pantalla en el juego."""
SubCategory_Other#0,"""Ajustes diversos"""
SubCategory_Other_Hint#0,"""Configurar los ajustes relacionados con Dark Blast, Rideroid, Salon, etc."""
SubCategory_InputGuide#0,"""Tipo de pantalla de entrada"""
SubCategory_InputGuide_Hint#0,"""Configura el tipo de entrada que se referenciará a lo largo del juego."""
SubCategory_PadDefine#0,"""Configuración básica del controlador"""
SubCategory_PadDefine_Hint#0,"""Configurar los ajustes relacionados con el controlador."""
SubCategory_KeyBind_Pad#0,"""Asignar teclas (<%GamePad>)"""
SubCategory_KeyBind_Pad_Hint#0,"""Configurar los botones de <%GamePad>."""
SubCategory_KeyBind_Mouse#0,"""Asignar teclas (Mouse)"""
SubCategory_KeyBind_Mouse_Hint#0,"""Configurar los botones del ratón."""
SubCategory_KeyBind_Keyboard#0,"""Asignar teclas (Keyboard)"""
SubCategory_KeyBind_Keyboard_Hint#0,"""Configurar las teclas del teclado."""
SubCategory_MainInputDevice#0,"""Método de entrada principal"""
SubCategory_MainInputDevice_Hint#0,"""Establecer la configuración del control principal."""
SubCategory_ActionType#0,"""Selección del tipo de acción"""
SubCategory_ActionType_Hint#0,"""Establezca si desea utilizar configuraciones de control de 3 o 2 botones."""
SubCategory_SoundVolume#0,"""Volumen"""
SubCategory_SoundVolume_Hint#0,"""Cambia el volumen de la BGM o de los SFX."""
SubCategory_SoundFunction#0,"""Reproducción de sonido"""
SubCategory_SoundFunction_Hint#0,"""Cambia los ajustes relacionados con la reproducción del sonido."""
SubCategory_GraphicsFunction#0,"""Drawing Features"""
SubCategory_GraphicsFunction_Hint#0,"""Ajustes avanzados de vídeo."""
SubCategory_GraphicsQuality#0,"""Calidad de la pantalla"""
