WINDOW_TITLE#0,"""¿Qué vas a hacer?"""
CLOSE_MENU#0,"""Salir"""
START_CLIENT_ORDER#0,"""Orden de cliente"""
START_TALK#0,"""Hablar"""
MB_ACCEPT#0,"""Aceptar"""
MB_REPORT#0,"""Informar en"""
MB_REJECT#0,"""Rechazar"""
TICKET_BOARD#0,"""Pase de impresión"""
ARKSROAD_FORM#0,"""Comprobar el progreso de formación ARKS"""
ARKSROAD#0,"""ARKS Training"""
ARKSMISSION_FORM#0,"""ARKS Missions"""
KNOWLEDGE#0,"""Clases particulares de Astarté"""
SHIP_BATTLE_MENU#0,"""Concurso de naves ARKS"""
SHOP_PASTRY#0,"""Panadería Naura"""
SHAO1#0,"""Ofrecer asistencia"""
SHAO2#0,"""Revisar lo básico"""
SHAO3#0,"""Verificar progreso"""
PRESENT_POINT#0,"""Puede recibir un regalo de $(0)."""
PET_LIMIT_BREAK#0,"""Pregunte por Pet's Limit Break"""
SUMMONER_MENU#0,"""Pregunte por los invocadores"""
STORY_BOARD#0,"""Storyboard (Ep. 4)"""
EVENT_CHRONICLE#0,"""Crónica del evento"""
SUMMONER_MENU1#0,"""Personalidades de las mascotas"""
GAT_TUTORIAL#0,"""Pregunte por Gatherings"""
GAT_TUTORIAL1#0,"""Pregunte por Skill Rings"""
EQUIP_NOTE#0,"""Collection Folder"""
EQUIP_NOTE_TUTORIAL#0,"""Collection Folder"""
ArksLeague#0,"""Receive League Reward"""
ArksLeagueRanking#0,"""View Latest League Info"""
Arks_Tut#0,"""ARKS Leagues"""
INVITE_REWARD#0,"""Invitation Reward"""
FCap_Tut#0,"""The Famitsu Cup"""
GetPokaRankingReward#0,"""Receive Battle Ranking Reward"""
Celestial_Sphere#0,"""Change Scenery"""
EP4_CHANGE_SIERRA#0,"""Change to Ep. 4"""
EP5_CHANGE_SIERRA#0,"""Change to Ep. 5"""
ALMA_MENU#0,"""Ask Question"""
HERO_MENU01#0,"""Pregunte por Heroes"""
PHANTOM_MENU01#0,"""Pregunte por Phantoms"""
RECYCLESHOP_JIG_TITLE1#0,"""Permit Exchange Shop"""
QC_STORY_EP5#0,"""Main Quests [Ep. 5]"""
QC_OMNIBUS#0,"""Omnibus Quests [Ep. 1-3]"""
QC_OMNIBUS_EP1#0,"""Episodio 1"""
QC_OMNIBUS_EP2#0,"""Episodio 2"""
QC_OMNIBUS_EP3#0,"""Episodio 3"""
RECYCLESHOP_JIG_TITLE01#0,"""Actualización de la serie Cleasis <pict Fresh>"""
RECYCLESHOP_JIG_TITLE02#0,"""Actualización de equipos"""
RECYCLESHOP_JIG_TITLE03#0,"""Obtener otros artículos"""
RECYCLESHOP_JIG_TITLE04#0,"""Actualización de la serie Val"""
RECYCLESHOP_JIG_TITLE05#0,"""Actualización de la serie Nemesis"""
RECYCLESHOP_JIG_TITLE06#0,"""Actualización de la serie Slave"""
RECYCLESHOP_JIG_TITLE07#0,"""Cambiar la categoría del arma de la serie Atlas <pict Fresh>"""
BEGINNER_GUIDE#0,"""Manual ARKS"""
SCQ_ITEMSHOP_TITTLE#0,"""Tienda de artículos"""
TICKETSHOP_ES_TITTLE01#0,"""Tienda de intercambio por tiempo limitado (till 11:00 am, Oct 10, 2018)"""
TICKETSHOP_ES_TITTLE03#0,"""期間限定交換ショップ（～2019年9月4日11時00分)"""
TICKETSHOP_ES_TITTLE04#0,"""期間限定交換ショップ（～2019年10月2日11時00分)"""
TICKETSHOP_ES_TITTLE02#0,"""Tienda de intercambio por tiempo limitado (till 11:00 am, May 15, 2019)"""
RECYCLESHOP_JIG_TITLE08#0,"""Usa Conqueror's Crest para conseguir un arma de 14★."""
RECYCLESHOP_JIG_TITLE09#0,"""Consigue Invade-NT Series"""
RECYCLESHOP_JIG_TITLE10#0,"""Consigue Modern Arms"""
RECYCLESHOP_JIG_TITLE11#0,"""Actualización de la serie Demon"""
RECYCLESHOP_JIG_TITLE12#0,"""Actualización de la serie Jutus"""
RECYCLESHOP_JIG_TITLE13#0,"""Actualización de la serie Homura"""
RECYCLESHOP_JIG_TITLE14#0,"""Usa King's Crest para conseguir un arma de 14★."""
