name_7662#0,"""ダントレイ"""
ssn_011121_0001#0,"""よし、それでは話をしよう。"""
ssn_011121_0101#0,"""うむ……、<br>どうやら、クラスがハンターではないようだな。"""
ssn_011121_0102#0,"""戦い方を学びたければ、“クラスカウンター”で、<br>クラスをハンターに変更してきてくれ。"""
ssn_011121_0103#0,"""それと、ハンターの“クラススキル”も<br>しっかり覚えておくんだぞ！"""
ssn_011121_0104#0,"""……だがまあ、ハンターについて、<br>話だけはしておこう。"""
ssn_011121_0201#0,"""ハンターは近距離での戦闘に長けたクラスだ！"""
ssn_011121_0202#0,"""敵の攻撃をガードし、ステップで回避し……強烈なカウンターを叩き込む！<br>それが基本的な戦い方だ。"""
ssn_011121_0203#0,"""クラススキルを活用すれば、エネミーとの接近戦にも臆することなく、<br>カウンター攻撃を狙えるようになるだろう。"""
ssn_011121_0204#0,"""まず最初は、“マッシブハンター”を会得するとよいだろう。"""
ssn_011121_0205#0,"""課題を出すから、やってみてくれ！"""
ssn_011121_0300#0,"""そうか……。<br>一人前になりたければ、また来るんだぞ！"""
