name010#0,"""กาโรอา (Garoa)"""
text010#0,"""พวกมันมาแล้ว! ปกป้องหมู่บ้านไว้!"""
Text_PA#0,"""Photon Art (PA): """
Text_TEC#0,"""Technique: """
Button_PATEC#0,"""<%PhotonArts>"""
Text_WA#0,"""Weapon Action: """
Button_WA#0,"""<%MainPaletteC>"""
Text_ura_PATEC#0,"""Back Palette """
Text_ura_PA#0,"""PA ใน Back Palette: """
Text_ura_TEC#0,"""Technique ใน Back Palette: """
xx1#0,"""กด <%WeaponAction_2> ค้างไว้แล้วกด <%NormalAttack>"""
xx2#0,"""สลับไปยัง Back Palette แล้วกด <%PhotonArts>"""
Text_item#0,"""ใช้งานไอเทม: """
Button_item_Pad#0,"""<%SubPalette>"""
Button_item_Key#0,"""<%SubPalette1>"""
Text_Lock#0,"""ล็อกเป้าหมาย (Lock-On): """
Button_Lock#0,"""<%LockOn>"""
Text_ura_hold#0,"""สลับไปยัง Back Palette: """
Text_ura_push#0,"""สลับ Palette: """
Button_ura_hold#0,"""กด <%WeaponAction_2> ค้างไว้"""
Button_ura_push#0,"""<%WeaponAction_2>"""
