msc_020080_0010#0,"""ทำตรงนี้..."""
msc_020080_0020#0,"""แล้วก็ตรงนั้น..."""
msc_020080_0030#0,"""อื้ม..."""
msc_020080_0040#0,"""เอาล่ะ พร้อมแล้ว!<br>รอรับคำสั่งได้เลย!"""
msc_020080_0050#0,"""มาจบเรื่องนี้กันเถอะ!"""
msc_020080_0060#0,"""เซ็นทรัลแคนนอน (Central Cannon)...<br>ยิงได้!"""
msc_020080_0070#0,"""...ยังไม่จบหรอกนะ!"""
msc_020080_0080#0,"""แกหนีไปไหนไม่ได้ทั้งนั้น!"""
msc_020080_0090#0,"""ที่เหลือฝากด้วยนะ"""
msc_020080_0100#0,"""เหล่าสหายที่ร่วงหล่นของพวกเรา..."""
msc_020080_0110#0,"""...ตอนนี้พวกเขาอยู่กับเธอแล้ว"""
msc_020080_0120#0,"""ฉันรู้ว่าพวกเธอทำได้!"""
msc_020080_0130#0,"""ขอร้องล่ะ!"""
msc_020080_0140#0,"""เพื่อสันติภาพของฮาลฟา (Halpha)!"""
msc_020080_0150#0,"""โอ้ว!"""
