msc_023030_0010#0,"""อ้า <%me>"""
msc_023030_0020#0,"""มาได้จังหวะพอดีเหมือนเคยเลยนะ"""
msc_023030_0030#0,"""มีรายงานเรื่องที่ช่วงนี้ไอน่าเป็นยังไงบ้างไหม?"""
msc_023030_0040#0,"""เธอก็ยังเป็นเหมือนเดิมนั่นแหละ"""
msc_023030_0050#0,"""ดูเหมือนเธอจะไม่ค่อยร่าเริงนะ"""
msc_023030_0060#0,"""...เข้าใจล่ะ หวังว่าจะเป็นแบบนั้นจริงๆ นะ"""
msc_023030_0070#0,"""อย่างที่คิดไว้เลย เธอยังรู้สึกลังเลกับเรื่องนี้อยู่สินะ..."""
msc_023030_0080#0,"""คิดว่าเคยพูดเรื่องนี้ไปแล้วล่ะ แต่ตอนนี้ให้ไอน่า<br>ทำหน้าที่เป็นครูฝึก (Instructor) ให้กับทีมเด็กใหม่ที่เพิ่งตั้งขึ้นมาน่ะ"""
msc_023030_0090#0,"""นี่จะเป็นครั้งแรกที่เธอได้เป็นคนสอนแทนที่จะเป็นคนเรียนน่ะ"""
msc_023030_0100#0,"""เธอคงจะรู้สึกกังวลกับสถานการณ์นี้อยู่ไม่น้อยเลยล่ะ"""
msc_023030_0110#0,"""ตอนแรกตั้งใจจะไปดูแลการฝึกซ้อมด้วยตัวเองน่ะ แต่ว่า..."""
msc_023030_0120#0,"""ไอน่าคงจะรู้สึกดีกว่าถ้าเธอเป็นคนดูแลน่ะ"""
msc_023030_0130#0,"""ช่วยจับตาดูไอน่าให้หน่อยได้ไหม?"""
msc_023030_0140#0,"""แน่นอน จะสนับสนุนเธออย่างสุดความสามารถเลยล่ะ"""
msc_023030_0150#0,"""แน่นอน ฝากเรื่องของเธอไว้ได้เลย"""
msc_023030_0160#0,"""เพื่อรับมือกับภัยคุกคามจากพวก Starless ช่วงนี้<br>หน่วยรบ (Combat Division) ก็เลยมีคนมาสมัครเยอะมากเลยล่ะ"""
msc_023030_0170#0,"""จนถึงขั้นที่พวกเราขาดแคลนครูฝึก (Instructor) ที่จะมาฝึกสอนพวกเขาเลยล่ะ"""
msc_023030_0180#0,"""นั่นเป็นเหตุผลที่รู้สึกขอบคุณมากเลยล่ะที่ได้ไอน่ามาเป็นหนึ่งในนั้นน่ะ"""
msc_023030_0190#0,"""เธอมีความสามารถในการสร้างแรงบันดาลใจให้กับผู้คนนะ"""
msc_023030_0200#0,"""แถมยังมีประสบการณ์จากการต่อสู้นับครั้งไม่ถ้วนอีก"""
msc_023030_0210#0,"""เชื่อว่าไอน่าจะกลายเป็นผู้นำที่ดีได้นะ"""
msc_023030_0220#0,"""เมื่อไม่นานมานี้เธอยังใช้ Rifle ไม่ค่อยคล่อง<br>เลยด้วยซ้ำ พัฒนาการของเธอน่าทึ่งมากจริงๆ"""
msc_023030_0230#0,"""ประสบการณ์เหล่านั้นของเธอนั่นแหละที่อยากจะ<br>ให้ถ่ายทอดไปยัง ARKS รุ่นต่อไปน่ะ"""
msc_023030_0240#0,"""ยังไงก็ตาม พวกเราคงต้องรอดูต่อไปล่ะนะว่าจะเป็นยังไง"""
msc_023030_0250#0,"""ถ้ามีอะไรคืบหน้าก็ช่วยมารายงานให้ฟังด้วยนะ"""
