ssc_506020_0010#0,"""......"""
ssc_506020_0020#0,"""...ไม่สิ ไม่ใช่แบบนี้"""
ssc_506020_0030#0,"""...มีอะไรบางอย่างไม่เหมือนเดิม..."""
ssc_506020_0040#0,"""หืม?! ใครอยู่น่ะ?!"""
ssc_506020_0050#0,"""อ้า <%me> นี่เอง"""
ssc_506020_0060#0,"""หึหึ เก่งเรื่องการลบร่องรอยจริงๆ เลยนะ<br>ไม่ธรรมดาเลยจริงๆ ให้ตายสิ"""
ssc_506020_0070#0,"""มาทำอะไรตั้งไกลถึงที่นี่ล่ะ?"""
ssc_506020_0080#0,"""กำลังฝึกซ้อมอะไรอยู่เหรอ?"""
ssc_506020_0090#0,"""อ้อ นี่เป็นกิจวัตรประจำวันน่ะ"""
ssc_506020_0100#0,"""ที่นี่เหมาะกับการ<br>ฝึกซ้อมส่วนตัวมากเลยล่ะ"""
ssc_506020_0110#0,"""ฝึกซ้อมงั้นเหรอ...? อืมม ก็น่าจะเรียกแบบนั้นได้ล่ะนะ"""
ssc_506020_0120#0,"""...กำลังซ้อมเต้นอยู่น่ะ"""
ssc_506020_0130#0,"""ถึงจะบอกว่าซ้อมก็เถอะ แต่ครูสอน<br>เต้นของฉันไม่อยู่แล้วล่ะ"""
ssc_506020_0140#0,"""สิ่งที่สืบทอดในครอบครัวของฉันก็คือ<br>'พลังแห่งบทเพลง (Power of Song)' น่ะ"""
ssc_506020_0150#0,"""แต่ว่า พลังนั้นไม่ได้พัฒนาขึ้น<br>แค่จากการร้องเพลงเพียงอย่างเดียวหรอกนะ"""
ssc_506020_0160#0,"""เมื่อการร้องและการเต้นหลอมรวมเป็นหนึ่งเดียวกัน<br>นั่นแหละคือตอนที่พลังที่แท้จริงจะแสดงออกมา"""
ssc_506020_0170#0,"""ท่านแม่เป็นคนสอนเรื่องนั้นให้ล่ะ"""
ssc_506020_0180#0,"""ไม่ว่าจะร้องเพลงเก่งขึ้นแค่ไหน<br>เรื่องการเต้นนี่ก็ยังเป็นสิ่งที่ฉันทำได้ไม่ค่อยดีเลยน่ะ"""
ssc_506020_0190#0,"""ระหว่างที่ซ้อมเต้น นี่แหละคือสิ่งที่<br>มักจะโดนท่านแม่ตำหนิอยู่บ่อยๆ น่ะ"""
ssc_506020_0200#0,"""ตอนที่เลิกร้องเพลงต่อหน้าผู้คน ฉันก็<br>หยุดเต้นไปนานเลยเหมือนกัน"""
ssc_506020_0210#0,"""แต่ในเมื่อตอนนี้กลับมาร้องเพลงอีกครั้งแล้ว จะปล่อยปละ<br>ละเลยเรื่องการเต้นไม่ได้เหมือนกัน"""
ssc_506020_0220#0,"""นั่นเป็นเหตุผลที่มาซ้อมเต้น<br>ที่นี่ทุกครั้งที่มีเวลาน่ะ"""
ssc_506020_0230#0,"""...ก็ เล่าให้ฟังหมดแล้ว เอ่อ..."""
ssc_506020_0240#0,"""ยังรู้สึกว่ามันไม่พร้อม<br>ที่จะแสดงให้คนอื่นดูหรอกนะ"""
ssc_506020_0250#0,"""ไว้ท่าเต้นของฉันเป๊ะกว่านี้เมื่อไหร่<br>อยากจะฟังความคิดเห็นของเธอเหมือนกันนะ"""
ssc_506020_0260#0,"""หรือว่า อยากจะเต้นด้วยกันล่ะ?"""
ssc_506020_0270#0,"""เรื่องเต้นนี่ไม่ค่อยจะ..."""
ssc_506020_0280#0,"""ถ้าเป็นการฝึกต่อสู้ล่ะก็..."""
ssc_506020_0290#0,"""หึหึหึ ล้อเล่นน่ะ"""
ssc_506020_0300#0,"""หืม ก็นะ นั่นเป็นข้อเสนอ<br>ที่น่าสนใจไม่เลวเลยล่ะ"""
ssc_506020_0310#0,"""แต่ว่า เก็บไว้<br>โอกาสหน้าก็แล้วกันนะ"""
ssc_506020_0320#0,"""ก่อนที่จะแสดงการเต้นหรือร้องเพลงให้<br>ทุกคนดู อยากจะแน่ใจก่อนว่าท่าเต้นของฉันสมบูรณ์แบบแล้วน่ะ"""
ssc_506020_0330#0,"""เมื่อถึงเวลานั้น เธอและ<br>สาวๆ ก็ต้องมาดูด้วยล่ะ"""
ssc_506020_0340#0,"""ไว้เจอกันนะ"""
ssc_506020_0350#0,"""...อย่ามาแอบดู<br>ตามโขดหินล่ะ เข้าใจไหม"""
