msc_024010_0010#0,"""Ah!"""
msc_024010_0020#0,"""Manon! And <%me>!"""
msc_024010_0030#0,"""It's been some time, hasn't it?"""
msc_024010_0040#0,"""Look at how much you've changed!"""
msc_024010_0050#0,"""And you as well."""
msc_024010_0060#0,"""I take my eye off of you for a second,<br>and look at how much you've grown."""
msc_024010_0070#0,"""You're both amazing."""
msc_024010_0080#0,"""You've both been working so hard."""
msc_024010_0090#0,"""Not as much as you..."""
msc_024010_0100#0,"""Not as much as you..."""
msc_024010_0110#0,"""Because you were there to..."""
msc_024010_0120#0,"""Because you were there to..."""
msc_024010_0130#0,"""Pfft."""
msc_024010_0140#0,"""Hehehe!"""
msc_024010_0150#0,"""...It's strange, isn't it?"""
msc_024010_0160#0,"""We're all walking different paths now,<br>but it still feels like we're always together."""
msc_024010_0170#0,"""As if it's still totally normal for us to<br>just stand around talking like this."""
msc_024010_0180#0,"""Indeed."""
msc_024010_0190#0,"""Even seperated, our hearts are as one."""
msc_024010_0200#0,"""We'll always be a team, no matter what."""
msc_024010_0210#0,"""Our hearts are as one..."""
msc_024010_0220#0,"""Yeah, it does feel like that."""
msc_024010_0230#0,"""We'll always be a team, no matter what..."""
msc_024010_0240#0,"""Yeah, I just know we will."""
msc_024010_0250#0,"""Regardless of what awaits us in the future,<br>our friendship won't ever change."""
msc_024010_0260#0,"""That's what I believe."""
msc_024010_0270#0,"""As do I."""
