Title#0,"""บททดสอบแรก"""
Summary#0,"""<%me> ได้พบกับ Crawford ผู้นำของ Central City และได้รู้ว่า DOLL ที่ทำลายเมือง Aelio Town มีชื่อว่า 【Dark Falz】<br><br>เมื่อบาดแผลของ Aina หายดี เธอจึงร่วมมือกับ <%me> และ Manon แล้วทั้งสามก็เริ่มเรียนรู้วิธีต่อสู้ในฐานะ ARKS"""
text0101#0,"""เดินทางไปยัง Cocoon 【First Step】"""
text0102#0,"""เข้าไปใน Cocoon 【First Step】"""
Objective331#0,"""เรียนรู้การใช้ Wall Kick"""
Objective341#0,"""ผ่าน Cocoon 【First Step】"""
Objective351#0,"""กลับไปยังพื้นที่"""
Objective361#0,"""กลับไปยังพื้นที่"""
Objective371#0,"""เดินทางไปยัง Central Tower"""
Objective381#0,"""คุยกับ Crawford"""
Objective311#0,"""※※※※※"""
Objective321#0,"""※※※※※"""
