Primm#0,"""初式|プリム系列"""
Tzvia#0,"""二式|ツヴィア系列"""
Silver Primm#0,"""白銀初式|シルヴァプリム系列"""
Trois De#0,"""三式|トロワーデ系列"""
Theseus#0,"""三之忒修斯|テルセウス系列"""
Gold Primm#0,"""金色初式|ゴルドプリム系列"""
Glissen#0,"""雷耀|グリッセン系列"""
Frostel#0,"""冰霜|フロステル系列"""
Cattleya#0,"""四之卡特蘭|キャトリア系列"""
Vialto#0,"""四之前程|ヴィアルト系列"""
Foursis#0,"""四式|フォーシス系列"""
Resurgir#0,"""重現|リサージュ系列"""
Flamel#0,"""炎焰|フランメル系列"""
Evolcoat#0,"""升鍍|エヴォルコート系列"""
Straga#0,"""超之絕巨|ストラーガ系列"""
Tempesta#0,"""風暴|テンペスター系列"""
Quintel#0,"""五之千斤|クィンテル系列"""
Gothica#0,"""五之哥特|ゴルシカ系列"""
Fivla#0,"""五式|フィブラ系列"""
Greaga#0,"""偉之絕巨|グレティーガ系列"""
Relik#0,"""聖遺|レリク系列"""
Cinquem#0,"""五之鎮魂|サンクエイム系列"""
Lumiere#0,"""光輝|ルメイラー系列"""
Obscura#0,"""暗影|オブスクラル系列"""
Kukuhroziat#0,"""傀戲|ククロゼアト系列"""
Qual De#0,"""肆式|クアルデ系列"""
Geant#0,"""龐然之巨|ジオント系列"""
Greas#0,"""宏偉之巨|グライアス系列"""
Vijf#0,"""伍式|ヴェフス系列"""
Vida#0,"""五之生|ヴィダー系列"""
Vio#0,"""五之命|ヴィオー系列"""
Schwar#0,"""漆黑|シュヴァル系列"""
