11_voice_NPC_02_101#0,"""最近在商店區徘徊的<br>那隻貓？<br>很可愛對不對呀？"""
Kuro_01_020#0,"""他圓滾滾的<br>又是全白色的！<br>我最喜歡這種貓了！"""
Kuro_01_030#0,"""咦？你是說黑色的麼？<br>哎呀......"""
Kuro_01_040#0,"""世、世界上應該還是有人<br>會喜歡那隻黑貓啦！<br>對啊，每個人的喜好都不同嘛！"""
Kuro_01_050#0,"""好，如果這樣決定了<br>那就得去問別了囉！<br>拜拜！"""
11_voice_NPC_5086_101#0,"""ああ、きみ、丁度良いところに。"""
Echo_favs_before_020#0,"""你能不能收下這個？<br>我剛好拿到這個東西。"""
Echo_favs_before_030#0,"""我想交給你使用<br>應該比放在我身上<br>還要有用。"""
Echo_favs_after_010#0,"""不用跟我道謝。"""
Echo_favs_after_020#0,"""是我應該謝謝你。<br>這算是我對你的報答。"""
Echo_favs_present_010#0,"""得到艾可給予的『恢復結界』。"""
Echo_favs_present_020#0,"""得到艾可給予的『合成器』。"""
Echo_favs_present_030#0,"""得到艾可給予的『淨化結界』。"""
Echo_favs_present_040#0,"""得到艾可給予的『合成器』。"""
Echo_favs_present_050#0,"""得到艾可給予的『防禦結界』。"""
Echo_favs_present_060#0,"""得到艾可給予的『合成器』。"""
Echo_favs_present_070#0,"""得到艾可給予的『攻擊結界』。"""
Echo_favs_present_080#0,"""得到艾可給予的『合成器』。"""
Echo_favs_present_090#0,"""得到艾可給予的『合成器』。"""
Echo_favs_present_100#0,"""得到艾可給予的『合成器』。"""
Echo_favs_present_add_001#0,"""エコーから『<%skit_text>』を受け取りました。"""
11_voice_NPC_5086_100#0,"""アークスになった、ってことだけで<br>浮かれてたらだめだよ？<br>何をやったかが重要なんだからね。"""
11_voice_NPC_5086_100#1,"""困ったことがあったら、あたしに相談！<br>……なんて、偉ぶってみたいんだけど<br>そんな優秀じゃないんだ、あたし。"""
Echo_02_020#0,"""總之，你不是為了這個目的<br>而成為ARKS<br>就好。"""
11_voice_NPC_5086_105#0,"""頑張るのはいいことだけど<br>しっかり休むのも、仕事の一つだよ？<br>きちんと休憩、してる？"""
11_voice_NPC_5086_105#1,"""ふぁーあっ……ねむ……<br>あ、ごめん、あたし寝付きが悪くて<br>起き抜けとかすっごく弱いんだ……"""
11_voice_NPC_5086_101#1,"""何でいつもゼノのそばにいるのかって？<br>そりゃあもちろん、あたしはゼノの<br>保護者みたいなものですから。"""
Echo_05_020#0,"""...有時我會被誤認是跟班，不過<br>我不會在意的啦。<br>...我也是有能力戰鬥的喔。"""
11_voice_NPC_5086_105#2,"""ゼノはすぐにふらふらとどこかへ<br>行っちゃうから、目が離せないのよね。<br>男の子ってみんなそうなのかな？"""
11_voice_NPC_5086_104#0,"""嗯嗯......<br>果然擔任不適任的職業是很辛苦的。"""
11_voice_NPC_5086_102#0,"""無理は禁物！<br>これ、お姉さんからの助言。<br>絶対に忘れないでね。"""
11_voice_NPC_5086_108#0,"""……戦闘に慣れすぎないでね。<br>一生懸命なその気持ちは買うけど<br>周りが見えなくなったらおしまいだよ？"""
11_voice_NPC_5086_104#1,"""雖說如此，但我還是從來沒想過<br>可以和沃帕爾上的原住民<br>進行交流。"""
11_voice_NPC_5086_100#2,"""十年前ぐらいは、もっとみんなが<br>殺伐としていて、実際危なかったんだ。<br>よくここまで持ち直したと思うよ。"""
11_voice_NPC_5086_104#2,"""自從當了獵人後就一直新傷不斷。<br>在許多意義上，正在實際感受獵人的辛苦。"""
Echo_12_020#0,"""唉...希望他能體諒一下<br>隨從的心情啊。"""
11_voice_NPC_5086_104#3,"""ゼノとの比較で、あたしは不真面目って<br>言われるけど、これが精一杯なの。<br>好きな言葉は「無理しない」だしね。"""
11_voice_NPC_5086_103#0,"""心の底から戦いたいって<br>思うようになったらそれはもう病気。<br>休んだ方がいい。"""
Echo_14_020#0,"""因為身體會在不知不覺中<br>慢慢耗損。"""
11_voice_NPC_5086_104#4,"""ふぅ……ゼノにあわせるのはタイヘン。<br>もともとハンターでもないのに<br>どこにあれだけの体力があるのかしら。"""
11_voice_NPC_5086_105#3,"""あたしとゼノ？\u3000幼馴染みだよ。<br>昔っから、今までずっと、幼馴染み。<br>……ずっと、かあ。"""
11_voice_NPC_5086_108#1,"""ダーカーとの戦いが終わったあとって<br>アークスは何をやっていくんだろ？<br>……ちょっと気の早すぎる心配かな。"""
Echo_17_020#0,"""但是大家似乎<br>沒有事情可做了<br>這真的有點恐怖..."""
11_voice_NPC_5086_104#5,"""アークスになる目的は人それぞれ。<br>でも、何か目的があるからアークスに<br>なるわけで、だからみんな頑張る、と。"""
Echo_18_020#0,"""...目的麼。<br>這真是個難題啊。"""
11_voice_NPC_5086_109#0,"""最近、怪我する人増えたよねぇ。<br>ダーカーの数も増えてきてるみたいだし<br>なんかちょっとイヤな感じ。"""
11_voice_NPC_5086_100#3,"""危なくなったらすぐ逃げる！<br>これ、あたしとゼノで珍しく一致してる<br>見解なんだよね。へへへ。"""
11_voice_NPC_5086_101#2,"""あたしとゼノ、喧嘩しすぎ、って？<br>そうかなあ、そんなことないと思うけど<br>喧嘩するほどなんとやら、ってやつ。"""
Echo_21_020#0,"""啊...沒、沒事。<br>我的意思不是說我們感情很好喔！<br>別誤會喔，知道麼？"""
11_voice_NPC_02_109#0,"""...唉。"""
Echo_mb9_020#0,"""嗯，啊，啊啊，對不起。<br>什麼？　什麼事麼？"""
Echo_mb9_030#0,"""你擔心我麼？<br>謝謝。但我已經沒事了。<br>我會習慣的。"""
11_voice_NPC_5086_104#6,"""嗯，首先要準備武器，<br>還得換個衣服，不然就糟了。"""
Echo_mb10_020#0,"""嗯？　你問我在幹嘛？<br>我在做一些準備呀？"""
Echo_mb10_030#0,"""在傑諾回來前，<br>我當然要努力呀。我一定要打起精神<br>堅持下去！"""
11_voice_NPC_02_104#0,"""戰技大會啊...<br>時間還真不巧啊。"""
Echo_mb11_020#0,"""如果傑諾在的話<br>我一定會很樂意參加。"""
Echo_mb11_030#0,"""該說是很不巧<br>還是......"""
11_voice_NPC_5086_104#7,"""うーむむ……<br>やっぱり適性のないクラスは大変。"""
Echo_mb12_020#0,"""你就在沃帕爾上面好好<br>適應一下吧。"""
11_voice_NPC_5086_104#8,"""それにしても、まさかウォパルの<br>原住民たちと交流できるなんて<br>思いもしなかったわね。"""
Echo_mb13_020#0,"""但是他們說話的方式怪怪的，<br>發音不一樣，聽起來也像方言，這是為什麼呢。<br>這算是滿特別的吧？"""
Echo_mb13_030#0,"""嗯，如果有記住的話應該不會發生那種事......<br>可能是聽了以後記住了，<br>但是沒有見到面所以才會有鄉音吧?"""
