name01#0,"""？？？"""
name02#0,"""？？？"""
ra_010570_0010#0,"""呃......請問，你是ARKS麼？<br>你願意接受委託麼？"""
ra_010570_0020#0,"""啊、真是太感謝你了！<br>哎呀呀！有你幫忙真是太好了呢！"""
ra_010570_0030#0,"""我是一個學者，現在正在調查<br>行星形成的歷史......<br>有關納貝流士的情報實在太少了。"""
ra_010570_0040#0,"""因為是每個ARKS一開始都會去的行星<br>我原本以為能收集到更多的情報<br>真是令人費解呢......"""
ra_010570_0050#0,"""啊，不好意思。<br>我太激動了......<br>我的名字叫做羅傑歐。"""
ra_010570_0060#0,"""我的委託內容很單純。<br>就是到納貝流士行星去進行地質調查<br>如此而已。"""
ra_010570_0070#0,"""與其說我想知道行星形成的歷史<br>老實說，這是基於直覺所做的決定<br>我實在很想查出那裡的情況......"""
ra_010570_0080#0,"""我曾拜託過其他的ARKS<br>但他們都說納貝流士已經被徹底調查過了<br>所以都沒人給我正面的回應。"""
ra_010570_0090#0,"""結果剛好碰到貴人出現<br><%me> <br>就是你呀！"""
ra_010570_0100#0,"""拜託你了！<br>只要配合你有空的時候就行了！"""
ra_010570_0110#0,"""A.P.238/2/21"""
