name01#0,"""？？？"""
name02#0,"""？？？"""
st_020760_0001#0,"""A.P.238/7/7/14:00"""
st_020760_0010#0,"""......此處為不可侵之地。<br>你們如何能夠進來？"""
st_020760_0020#0,"""那是......克拉麗莎麼？<br>不是我製造的模造品。<br>......原來真品還在啊。"""
st_020760_0030#0,"""而拿在手中的你......<br>原來如此原來如此，<br>是這麼回事啊。"""
st_020760_0040#0,"""錫安，妳還是想盡辦法<br>在抵抗啊。<br>一切都是徒勞，還這麼拼命啊。"""
st_020760_0050#0,"""你...你快放開錫安！"""
st_020760_0060#0,"""......放開？<br>呵呵呵，喂喂喂。<br>妳在說什麼傻話啊？"""
st_020760_0070#0,"""我與她將永不分開。<br>不會再分離了。"""
st_020760_0080#0,"""我啊，終於理解了她。<br>與她完全合為一體<br>......現在，才識得這一切！"""
st_020760_0090#0,"""......你在說些什麼啊。"""
st_020760_0100#0,"""你們才真的搞清楚了麼？<br>在你們自己的眼前的她，<br>到底是什麼呢。"""
st_020760_0110#0,"""演算之海誕生的意義。<br>那就是維持宇宙的記憶、演算一切......"""
st_020760_0120#0,"""......沒錯，她就是<br>全知之存在（阿卡西記錄）！"""
st_020760_0130#0,"""正是佛特納他們......<br>不，我所追尋的<br>宇宙至理！"""
st_020760_0140#0,"""佛特納這種生物的存在，<br>已是久遠得無法想像的過去。<br>不，應該說是瘋狂得難以想像吧？"""
st_020760_0150#0,"""所以，除了我之外，<br>所有佛特納不再維持外表。<br>不再堅持個體。"""
st_020760_0160#0,"""深怕瘋狂而捨棄了自我。<br>無聊......真是無聊。"""
st_020760_0170#0,"""在她之內漠然遊蕩的存在，<br>有什麼意義？　有何價值？"""
st_020760_0180#0,"""無論是ARKS、黑暗種，<br>一切所有的研究與實驗<br>都是為了迎接此時此刻的來臨！"""
st_020760_0190#0,"""以第一代克拉莉絲克蕾絲的身體為祭獻<br>出面扛下ARKS的改良以及量產，<br>都是為了走到這一步的拖延！"""
st_020760_0200#0,"""一切為了此刻，<br>為了理解她、與她同在......<br>而且，終於成真！"""
st_020760_0210#0,"""我已與她合而為一！<br>成為知曉森羅萬象的存在！"""
st_020760_0220#0,"""不會讓你得逞的！"""
st_020760_0230#0,"""小小ARKS，太張狂了。<br>首先，你該給我跪下。"""
st_020760_0240#0,"""啊，身體......<br>好像要被拉扯到地面一樣......！"""
st_020760_0250#0,"""唉呀，難道沒聽雷吉亞斯說麼？<br>我掌握了所有的管制。<br>要改變重力，簡單無比。"""
