text01#0,"""Weapon proficiency takes daily practice.<br>The more training you do, the more you'll improve."""
text02#0,"""You may find it hard and exhausting at first, but<br>the more boot camps you complete, the more<br>you'll start to enjoy the process."""
11_voice_NPC_5057_100#0,"""I've sent out countless students like that. So just put your mind at ease and follow me."""
text100#0,"""Twin Daggers"""
text101#0,"""This is an explanation of the twin daggers gear system.<br><br>By learning the ""twin daggers"" skill, a gear gauge<br>will be added to the top of the Weapon Palette.<br><br>The twin dagger gear gauge charges each time you jump."""
text102#0,"""When the gear gauge fills, the power of your photon<br>arts will increase, and hostiles will have a big reaction.<br><br>You should focus on continuous attacks because the gauge<br>for twin daggers will decrease when you stop attacking."""
text01#1,"""武器の扱いとは一日にしてならず。<br>特訓すればするほど、その扱いは<br>上達していくものよ。"""
text02#1,"""最初は辛く、苦しいと思う特訓も<br>一つ一つ出来ることが増えるたびに<br>どんどん気持ちよくなっていく。"""
11_voice_NPC_5057_100#1,"""そういう教え子を<br>私は何人も送り出してきた。<br>だから、貴方も安心して従いなさい。"""
text100#1,"""『ツインダガーギア』について"""
text101#1,"""ツインダガーのギアシステムについて、説明します。<br><br>スキル「ツインダガーギア」を習得している場合には<br>武器パレットの上部にギアゲージが追加されます。<br><br>ツインダガーのギアゲージは、ジャンプすることにより蓄積されます。"""
text102#1,"""ギアゲージが高まるとフォトンアーツの威力が上昇し<br>敵のリアクションも大きくなります。<br><br>ツインダガーギアのゲージは攻撃が止まると減少するため<br>集中して攻め続けるのが良いでしょう。"""
