Title#0,"""Centro de entrenamiento ARKS"""
MenuType_Next#0,"""Hacer la siguiente $(0)"""
MenuType_Next_None#0,"""No hay entrenamiento adicional disponible."""
MenuType_Retry#0,"""Reintentar entrenamiento"""
MenuType_Back#0,"""Volver al área de abordaje"""
TerminalMenuType_Reset#0,"""Hacer $(0) desde el principio"""
TerminalMenuType_Close#0,"""Cerrar terminal"""
TerminalResetConfirmTitle#0,"""Terminal de reintento"""
TerminalResetConfirmMessage#0,"""Reintentar $(0)?"""
TerminalResetConfirmTitle2#0,"""Terminal de reintento"""
Title#1,"""Resultados de la misión"""
QuestResultTitle#0,"""Resultados de la misión"""
ItemResultTitle#0,"""Resultados de objetos"""
RankResultTitle#0,"""-"""
BeforeQuestResultTitle#0,"""Resultados de la misión anterior"""
BeforeItemResultTitle#0,"""前回のアイテムリザルト"""
BeforeRankResultTitle#0,"""-"""
End#0,"""Cerrar"""
ItemResultElement1#0,"""Mesetas recibidas"""
ItemResultElement2#0,"""EXP recibida"""
ItemResultElement3#0,"""FUN recibido"""
ItemResultUnit1#0,"""メセタ"""
ItemResultUnit2#0,"""ＥＸＰ"""
ItemResultUnit3#0,"""FUN"""
ItemGet#0,"""Objetos recibidos"""
QuestResultElement1#0,"""Puntos por derrotar enemigos"""
QuestResultElement2#0,"""Daño al objetivo"""
QuestResultElement3#0,"""Muertes"""
QuestResultElement4#0,"""Resurrecciones"""
QuestResultElement5#0,"""\""Tiempo\""Derrotar a 100 enemigos!"""
QuestResultElement6#0,"""残り時間"""
QuestResultElement7#0,"""Puntos de misión"""
QuestResultElement8#0,"""Vida restante de la base"""
QuestResultElement9#0,"""ＥＱトライアル成功率"""
Score#0,"""Puntuación"""
Perfect#0,"""★ PERFECTO"""
TotalResult#0,"""総合評価"""
ErrandResultTitle#0,"""Resultados de la orden"""
ErrandOrderTitle#0,"""手伝ったオーダー"""
EquipNoteResultTitle#0,"""Resultados de la planilla de recolección"""
BeforeEquipNoteResultTitle#0,"""Resultados de la planilla anterior"""
ChallengeResultTitle#0,"""Resultados del desafio"""
ItemResultElement4#0,"""Challenge Miles adquiridos"""
ItemResultUnit4#0,"""CM"""
QuestResultElement11#0,"""AIS abordados"""
QuestResultQuestFlag#0,"""Misiones completadas"""
QuestResultElement12#0,"""Puntaje actual"""
QuestResultElement13#0,"""Tasa de participación en misión"""
QuestResultElement14#0,"""A.I.S/ライドロイド被撃墜数"""
QuestResultElement15#0,"""クエスト進行度"""
QuestResultElement16#0,"""撃破達成度"""
QuestResultElement17#0,"""追加評価"""
QuestResultElement18#0,"""エネミー"""
QuestResultElement19#0,"""オブジェクト"""
QuestResultUnit1#0,"""体"""
EquipNoteResultElement1#0,"""進行度が上昇したシート（上位５件まで表示）"""
EquipNoteResultProgress#0,"""Objetos requeridos y progreso por $(0)"""
EquipNoteResultOther#0,"""<yellow>※ Hay otros objetos con mayores tasas de progreso.<c>"""
EquipNoteResultPercent#0,"""$(1).$(0)%"""
PointValue#0,"""$(0)pt"""
ChallengeResultTitle1#0,"""Resultados básicos"""
ChallengeResultTitle2#0,"""Challenge Miles ganados"""
ChallengeResultTitle3#0,"""Logro obtenido"""
ChallengeResultTitle4#0,"""Participación del Challenge"""
ChallengeResultTitle5#0,"""Challenge Miles obtenidos (Boost Points +$(0))"""
ChallengeResultTitle6#0,"""チャレンジクリア"""
ChallengeResultSub1#0,"""Completa Rate"""
ChallengeResultSub2#0,"""MIsión $(0) ($(1))"""
ChallengeResultSub3#0,"""Mile Crystals recolectados"""
