name010#0,"""나즌"""
text010#0,"""자! 드디어 마지막 퀴즈입니다!"""
text020#0,"""이름하여, \""누굴까요?\"" 퀴즈!"""
text021#0,"""지금부터 표시되느 이미지를 보고,<br>누구인지 맞혀보세요."""
text030#0,"""그럼,<br>렛츠 씽킹!"""
text040#0,"""타임 업!"""
text080#0,"""이걸로 모든 퀴즈가 끝났습니다."""
text081#0,"""…는, 잠시만요?"""
text082#0,"""어이쿠!<br>또 다시, 에너미가 행사장에 난입!?"""
quiz00_01#0,"""없음"""
quiz_correct#0,"""축하드립니다!"""
quiz_incorrect#0,"""아쉽네요…."""
quiz01#0,"""이 사람은 누굴까요?"""
quize01_select1#0,"""아사마"""
quize01_select2#0,"""야쿠모"""
quize01_select3#0,"""아카츠키"""
quize01_select4#0,"""하츠카리"""
quize02_select1#0,"""웰미나"""
quize02_select2#0,"""웨이크스"""
quize02_select3#0,"""란"""
quize02_select4#0,"""피에트로"""
quize03_select1#0,"""구이덴"""
quize03_select2#0,"""브루더"""
quize03_select3#0,"""지그"""
quize03_select4#0,"""그라트"""
quize04_select1#0,"""그라이프"""
quize04_select2#0,"""두두"""
quize04_select3#0,"""라이썬더"""
quize04_select4#0,"""비버리"""
quize05_select1#0,"""츠쿠시"""
quize05_select2#0,"""사쿠라"""
quize05_select3#0,"""미즈호"""
quize05_select4#0,"""코마치"""
quize01_answer#0,"""정답은…<br><red>아사마<c>였습니다!"""
quize02_answer#0,"""정답은…<br><red>웰미나<c>였습니다!"""
quize03_answer#0,"""정답은…<br><red>구이덴<c>이였습니다!"""
quize04_answer#0,"""정답은…<br><red>그라이프<c>였습니다!"""
quize05_answer#0,"""정답은…<br><red>사쿠라<c>였습니다!"""
quize06_select1#0,"""모프센"""
quize06_select2#0,"""쟈릴"""
quize06_select3#0,"""하디"""
quize06_select4#0,"""레기아스"""
quize06_answer#0,"""정답은…<br><red>쟈릴<c>이였습니다!"""
quize07_select1#0,"""앙리"""
quize07_select2#0,"""샤르키"""
quize07_select3#0,"""단트레이"""
quize07_select4#0,"""크레스톤"""
quize07_answer#0,"""정답은…<br><red>샤르키<c>였습니다!"""
quize08_select1#0,"""유노카"""
quize08_select2#0,"""슬레인"""
quize08_select3#0,"""쿄쿠야"""
quize08_select4#0,"""난델"""
quize08_answer#0,"""정답은…<br><red>슬레인<c>이였습니다!"""
quize09_select1#0,"""부르간스"""
quize09_select2#0,"""오자"""
quize09_select3#0,"""단트레이"""
quize09_select4#0,"""샤르키"""
quize09_answer#0,"""정답은…<br><red>단트레이<c>였습니다!"""
quize10_select1#0,"""로날딘"""
quize10_select2#0,"""디멘테르나"""
quize10_select3#0,"""듀아드라"""
quize10_select4#0,"""아자나미"""
quize10_answer#0,"""정답은…<br><red>듀아드라<c>였습니다!"""
quize11_select1#0,"""한스"""
quize11_select2#0,"""트래비스"""
quize11_select3#0,"""트럭스턴"""
quize11_select4#0,"""카르테뷔에"""
quize11_answer#0,"""정답은…<br><red>트럭스턴<c>였습니다!"""
quize12_select1#0,"""소뮤아"""
quize12_select2#0,"""시라유키"""
quize12_select3#0,"""노조미"""
quize12_select4#0,"""버핀"""
quize12_answer#0,"""정답은…<br><red>노조미<c>였습니다!"""
quize13_select1#0,"""모프센"""
quize13_select2#0,"""사가"""
quize13_select3#0,"""쟈릴"""
quize13_select4#0,"""하디"""
quize13_answer#0,"""정답은…<br><red>하디<c>였습니다!"""
quize14_select1#0,"""해밀턴"""
quize14_select2#0,"""간즈백"""
quize14_select3#0,"""스타전"""
quize14_select4#0,"""바트람"""
quize14_answer#0,"""정답은…<br><red>바트람<c>였습니다!"""
quize15_select1#0,"""마린"""
quize15_select2#0,"""마루"""
quize15_select3#0,"""예나"""
quize15_select4#0,"""호냥"""
quize15_answer#0,"""정답은…<br><red>호냥<c>이였습니다!"""
quize16_select1#0,"""라피카"""
quize16_select2#0,"""달레인"""
quize16_select3#0,"""치토세"""
quize16_select4#0,"""미샤"""
quize16_answer#0,"""정답은…<br><red>미샤<c>였습니다!"""
quize17_select1#0,"""모프센"""
quize17_select2#0,"""하디"""
quize17_select3#0,"""쟈릴"""
quize17_select4#0,"""큐레이온"""
quize17_answer#0,"""정답은…<br><red>모프센<c>였습니다!"""
quize18_select1#0,"""라이서스"""
quize18_select2#0,"""라이썬더"""
quize18_select3#0,"""월리스"""
quize18_select4#0,"""우라간"""
quize18_answer#0,"""정답은…<br><red>라이썬더<c>였습니다!"""
quize19_select1#0,"""라스터"""
quize19_select2#0,"""노에미"""
quize19_select3#0,"""라스키나"""
quize19_select4#0,"""에테르나"""
quize19_answer#0,"""정답은…<br><red>라스키나<c>였습니다!"""
quize20_select1#0,"""로라"""
quize20_select2#0,"""마사"""
quize20_select3#0,"""모니카"""
quize20_select4#0,"""라보나"""
quize20_answer#0,"""정답은…<br><red>라보나<c>였습니다!"""
quize21_select1#0,"""리아메이"""
quize21_select2#0,"""샨레이"""
quize21_select3#0,"""리사"""
quize21_select4#0,"""리라사"""
quize21_answer#0,"""정답은…<br><red>리아메이<c>였습니다!"""
quize22_select1#0,"""렐릭"""
quize22_select2#0,"""레소"""
quize22_select3#0,"""레다"""
quize22_select4#0,"""레이"""
quize22_answer#0,"""정답은…<br><red>레소<c>였습니다!"""
