name_7406#0,"""スレイン"""
ssn_015811_0101#0,"""フフ……。<br>まあ、聞くまでもなかったな。"""
ssn_015811_0102#0,"""それでは、はじめよう。"""
ssn_015811_0103#0,"""……ん？<br>クラスがスレイヤーではない……だと？"""
ssn_015811_0104#0,"""なんということだ。<br>すぐに“クラスカウンター”に向かうべきだ。"""
ssn_015811_0105#0,"""そして、身体になじむ<br>“クラススキル”も会得すること。"""
ssn_015811_0106#0,"""……しかし、<br>その前にスレイヤーについて話しておく。"""
ssn_015811_0107#0,"""スレイヤーは、銃剣を用いた近距離戦を得意とする。<br>銃撃と斬撃を組み合わせて、敵を葬り去るのだ。"""
ssn_015811_0108#0,"""そして、もうひとつ。<br>スレイヤーは、随一の速さを誇る。"""
ssn_015811_0109#0,"""なにを隠そう、<br>私の“神速”の名も、そこからきている。"""
ssn_015811_0110#0,"""初めに会得するべきクラススキルは、<br>“ガンスラッシュギア”。"""
ssn_015811_0111#0,"""さらに、“スラッシュパスート”だ。"""
ssn_015811_0112#0,"""さぁ、すぐにでも試してみたまえ。"""
