name_7245#0,"""셰미"""
name_7224#0,"""시트레"""
ssn_019150_002_0010#0,"""아… 와주셨군요.<br>…다시 한 번, 소개하겠습니다."""
ssn_019150_002_0020#0,"""저는 셰미.<br>기술개발부에서 장비 개발을 담당하고 있습니다."""
ssn_019150_002_0030#0,"""지금은 장비 강화에 대한 조언…을 하고 있습니다."""
ssn_019150_002_0040#0,"""…뭔가 평소 담당자가 바쁘신 것 같아서요.<br>저도 그렇게 한가… 한건 아닌데 말이죠."""
ssn_019150_002_0050#0,"""…그, 그럼 본론입니다만…."""
ssn_019150_002_0051#0,"""아… 와주셨군요.<br>감사합니다."""
ssn_019150_002_0052#0,"""<%me> 씨라면,<br>와주실 거라고 생각했습니다…."""
ssn_019150_002_0053#0,"""그럼 바로…<br>본론… 인데요."""
ssn_019150_002_0060#0,"""장비 강화란 건,<br>별로 안하는 사람도 있지만…."""
ssn_019150_002_0070#0,"""전투 기술을 연마하는 것과…<br>똑같이 중요하거든요…."""
ssn_019150_002_0080#0,"""좀 더 관심을 가져주시면,<br>기뻐…요."""
ssn_019150_002_0090#0,"""우, 우선은 강화를 위한<br>자금준비… 부터."""
ssn_019150_002_0100#0,"""강화는,  꽤나 비용이 많이 들기 때문에…"""
ssn_019150_002_0110#0,"""알파 리액터를<br>찾아봐… 주세요."""
ssn_019150_002_0120#0,"""시티 밖, 여러 곳에서…<br>황금빛으로 빛나는 동력로를 찾으실 수 있을… 거예요."""
ssn_019150_002_0130#0,"""그, 그럼 … 힘내세요!"""
ssn_019150_002_1010#0,"""어, 어서… 오세요."""
ssn_019150_002_1020#0,"""…뭔가 이런저런<br>심부름꾼처럼 만들어서… 죄송해요."""
ssn_019150_002_1030#0,"""강화에 필요한 물건은…<br>그걸로 대충 준비된 것… 같아요."""
ssn_019150_002_1040#0,"""…남은건, 그걸 사용해서<br>자신이 좋아하는 장비를 강화해 보세요."""
ssn_019150_002_1050#0,"""사실은 그쪽이 제 전문 분야<br>입니다만…."""
ssn_019150_002_1060#0,"""얘기하면 길어지니,<br>장비별 세부적인 이야기는 다음에 다시…."""
ssn_019150_002_1070#0,"""장비 강화 조언은<br>이걸로 끝… 입니다."""
ssn_019150_002_2010#0,"""셰미, 잘 지냈어?"""
ssn_019150_002_2020#0,"""시트레?"""
ssn_019150_002_2030#0,"""미안해. 갑자기 무리한 부탁을 해서.<br>이쪽 인력이 부족해서 말이지…."""
ssn_019150_002_2040#0,"""벼… 별거 아닌걸."""
ssn_019150_002_2050#0,"""그렇구나, 고마워."""
ssn_019150_002_2060#0,"""…어라?<br>거기 있는 건 소문난 실력있는 아크스?"""
ssn_019150_002_2070#0,"""혹시, 셰미의 조언으로<br>장비 강화가 끝난 느낌?"""
ssn_019150_002_2080#0,"""아, 아니 아직<br>조언이 끝난 참이야…."""
ssn_019150_002_2090#0,"""흠. 그렇구나."""
ssn_019150_002_2100#0,"""아, 그래.<br>네게 부탁 하나 해도 될까?"""
ssn_019150_002_2110#0,"""장비가 준비되면 그때라도 괜찮아.<br>의뢰 내용을 보내줄게!"""
ssn_019150_002_2120#0,"""언제든지 내킬때 해도 되니까!<br>よろしくね！\u3000それじゃ！"""
ssn_019150_002_2130#0,"""…시트레?<br>자, 자유롭네… 여전해."""
ssn_019150_002_2140#0,"""…이번 장비 강화 이야기는<br>아까 그 아이에게 부탁을 받았어요."""
ssn_019150_002_2150#0,"""혹시 괜찮으시면<br>그녀의 부탁을 들어주세요."""
ssn_019150_002_2160#0,"""잘 부탁드려… 요."""
ssn_019150_002_3010#0,"""셰미, 잘 지냈어?"""
ssn_019150_002_3020#0,"""シトレー？"""
ssn_019150_002_3030#0,"""미안해, 갑자기 무리한 부택을 해서.<br>이쪽 인력이 부족해서 말이지…."""
ssn_019150_002_3040#0,"""벼… 별거 아닌걸."""
ssn_019150_002_3050#0,"""그렇구나, 고마워."""
ssn_019150_002_3060#0,"""…어라?<br>어라, 거기 있는 건 <%me>?"""
ssn_019150_002_3070#0,"""혹시, 셰미의 조언으로<br>장비 강화가 끝난 느낌?"""
ssn_019150_002_3080#0,"""아, 아니 아직<br>조언이 끝난 참이야…."""
ssn_019150_002_3090#0,"""흠. 그렇구나."""
ssn_019150_002_3100#0,"""아, 그래.<br>네게 부탁 하나 해도 될까?"""
ssn_019150_002_3110#0,"""장비가 준비되면 그때라도 괜찮아.<br>의뢰 내용을 보내줄게!"""
ssn_019150_002_3120#0,"""언제든지 내킬때 해도 되니까!<br>よろしくね！\u3000それじゃ！"""
ssn_019150_002_3130#0,"""…시트레?<br>자, 자유롭네… 여전해."""
ssn_019150_002_3140#0,"""…이번 장비 강화 이야기는<br>시타레가 부탁을 했어요."""
ssn_019150_002_3150#0,"""혹시 괜찮으시면<br>그녀의 부탁을 들어주세요."""
ssn_019150_002_3160#0,"""잘 부탁드려… 요."""
ssn_019150_002_4010#0,"""…우으 이런 건<br>잘은 못하지만…."""
ssn_019150_002_4020#0,"""뭐, 뭔가 제가 도와드릴 수 있는게,<br>있을까요…?"""
ssn_019150_002_5010#0,"""장비에 대해 모르는 것이 있다면<br>무엇이든 물어보세요."""
ssn_019150_002_5020#0,"""뭐, 뭔가 제가 도와드릴 수 있는게,<br>있을까요…?"""
npc_menu_0010#0,"""시즈널 포인트와 교환하기 ($(0)까지)"""
npc_menu_0020#0,"""개더링 소재로 교환하기"""
npc_menu_0030#0,"""아이템 리사이클（2023년6월7일12시00분까지）"""
npc_menu_0040#0,"""시즈널 이벤트의 설명 듣기"""
npc_menu_0050#0,"""메뉴 닫기"""
npc_menu_1010#0,"""\""시즈널 이벤트\""에 관하여"""
npc_menu_1020#0,"""\""시즌 에너미\""에 관하여"""
npc_menu_1030#0,"""\""미스치프 심볼\""에 관하여"""
npc_menu_1040#0,"""\""시즈널 리전 마그\""에 관하여"""
npc_menu_1050#0,"""\""계절 암스 토벌 트라이얼\""에 관하여"""
npc_menu_2000#0,"""묻고 싶은 것이 없다"""
