msc_013300_0010#0,"""이건…."""
msc_013300_0020#0,"""로스트 센트럴의 제어중추……,<br>코어 유닛이야."""
msc_013300_0030#0,"""그럼, 어디 한 번 조사해 볼까?"""
msc_013300_0040#0,"""뭐어, 너희는 좀 쉬고 있어."""
msc_013300_0050#0,"""센트럴 분들.<br>잠깐 좀 와줄래?"""
msc_013300_0060#0,"""도움이 좀 필요해서.<br>난 이쪽을 손볼 테니까…."""
msc_013300_0070#0,"""그래, 알았어."""
msc_013300_0080#0,"""그러니까……전원은 전부 못 쓰겠네. 예비까지 전부 바닥났어."""
msc_013300_0090#0,"""그야 그렇겠지~.여기 이 배터리 써."""
msc_013300_0100#0,"""이걸로도 될지 안 될지….아, 서브 유닛 쪽은 아직 살아있는 것 같아."""
msc_013300_0110#0,"""오, 그럼 그 쪽 걸 써야겠네.<br>……됐다, 코어 시스템도 작동할 것 같아."""
msc_013300_0120#0,"""서브의 배전을 메인 쪽에 직렬로 바꾸고….<br>혹시 모르니까 안전모드로 해둘게."""
msc_013300_0130#0,"""그렇지……그런데 너 제법이네.<br>이해가 빨라서 다행이야."""
msc_013300_0140#0,"""너도 마찬가지야."""
msc_013300_0150#0,"""굉장해……이루마랑 대화가 통하고 있어…."""
msc_013300_0160#0,"""우리 마논도 제법이지?"""
msc_013300_0170#0,"""움직인다……!?"""
msc_013300_0180#0,"""그래야 돼."""
msc_013300_0200#0,"""그럼, 이제 안에 든 걸 봐 볼까."""
msc_013300_0210#0,"""돌즈!?"""
msc_013300_0220#0,"""아무래도 자고 있던 녀석들까지<br>깨워버린 모양이네."""
msc_013300_0230#0,"""이 놈들은 우리가 정리하지."""
msc_013300_0240#0,"""이루마가 하는 작업을 구경만 해서야……,<br>잠이 쏟아지니까."""
