Q0#0,"""Здраствуйте"""
HELLO#0,"""Здраствуйте"""
HELLO_FAV4#0,"""Рада встретить вас"""
HELLO_FAV3#0,"""Я ждала"""
HELLO_FAV2#0,"""Здраствуйте"""
HELLO_FAV1#0,"""Привет"""
HELLO_FAV0#0,"""Я сейчас занята"""
GOODBYE#0,"""Хорошо поработали"""
GOODBYE_FAV4#0,"""Пожалуйста, приходите снова"""
GOODBYE_FAV3#0,"""Будьте осторожны"""
GOODBYE_FAV2#0,"""Хорошо поработали"""
GOODBYE_FAV1#0,"""Тогда, до встречи"""
GOODBYE_FAV0#0,"""Фух..."""
00_01#0,"""1-я опция"""
00_02#0,"""2-я опция"""
TALK_ST#0,"""Говорить"""
C_ORDER_ST#0,"""Узнать подробности"""
