IncidentName#0,"""Защита поселения лиллипанцев"""
TrialBeginMsg#0,"""Защитите поселение лиллипанцев!"""
TrialAbstract#0,"""Защитите поселение лиллипанцев!"""
NpcComOnBegin#0,"""Похоже, что поселение лиллипанце<br>этого района подверглось<br>нападению.<br>Пожалуйста, немедленно<br>отправляйтесь на помощь."""
NpcComOnAfterBegin#0,"""Поселение расположено на $(0)."""
NpcComOnSuccess#0,"""Вам удалось защитить его.<br>Хорошо поработали."""
NpcComOnFailure#0,"""/face4 ...Поселение было полностью<br>разрушено.<br>Ничего не поделаешь.<br>Возвращайтесь к своей миссии,<br>пожалуйста."""
NpcComOnArrive#0,"""В этом месте находится поселение лиллипанцев.<br>Пожалуйста, отбейте периметр."""
NpcComOnBroken1#0,"""Подтверждаю уничтожение<br>поселения.<br>Осталось два.<br>Как-то, защитите их."""
NpcComOnBroken2#0,"""Подтверждаю разрушение<br>поселения...<br>Осталось последнее, хотя бы<br>последнее..."""
NpcComOnTimeLimit1#0,"""Похоже, что враг замедлился.<br>Пожалуйста, продолжайте<br>отбиваться."""
NpcComOnTimeLimit2#0,"""Враг стал реже появляться.<br>Пожалуйста, сберегите поселение<br>до самого конца."""
NpcComOnBegin#1,"""Соседнее поселение лиллипанцев,<br>похоже, подверглось нападению.<br>Каждому участнику:<br>Отправляйтесь на помощь."""
NpcComOnAfterBegin#1,"""Поселение на $(0).<br>Отправляйтесь в места<br>маркеров на карте."""
NpcComOnSuccess#1,"""Отлично, защита<br>поселения звершена.<br>Хорошо спраивлись."""
NpcComOnFailure#1,"""Подтверждаю полное<br>разрушение поселения.<br>...Нет необходимости<br>сожалеть об этом.<br>Возвращайтесь к миссии."""
NpcComOnArrive#1,"""Отлично, похоже, вы добрались<br>до деревни.<br>Разберитесь с окружающими<br>врагами."""
NpcComOnBroken1#1,"""Тч...<br>Неужели поселение было разрушено?<br>Осталось ещё два.<br>Поспешите."""
NpcComOnBroken2#1,"""Осталась последнее поселение.<br>Неважно как, но защитите его."""
NpcComOnTimeLimit1#1,"""Неплохо, враг замедлился."""
NpcComOnTimeLimit2#1,"""Силы врага отброшены.<br>Продолжайте отбиваться<br>в том же духе."""
NpcComOnBegin#2,"""Поселение лиллипанцев,<br>расположенная в этом районе,<br>подверглось нападению!<br>Спешите оказать поддержку!"""
NpcComOnAfterBegin#2,"""Поселение расположено на $(0).<br>Также устанавливаю<br>маркеры на карте."""
NpcComOnSuccess#2,"""/face2 Хорошо справились...<br>Как-то вам удалось защитить<br>деревню.<br>Очень благодарю вас<br>за проделанную работу!"""
NpcComOnFailure#2,"""/face6 А. Поселение было<br>послностью разрушено.<br>Ничего не поделаешь.<br>Возвращайтесь к своей миссии."""
NpcComOnArrive#2,"""Вот где находится<br>поселение лиллипанцев.<br>Отбейтесь от окружающих врагов,<br>и защитите поселение!"""
NpcComOnBroken1#2,"""/face4 Аа! Одно из поселений<br>было уничтожено!<br>Пожалуйста, защитите<br>оставшиеся два!"""
NpcComOnBroken2#2,"""/face4 Осталась одно поселение!<br>Пожалуйста, защитите его!"""
NpcComOnTimeLimit1#2,"""/face2 Активность врага снизилась!<br>Продолжайте в том же духе!<br>Не останавливайтесь!<br>Не сбавляйте ход!"""
NpcComOnTimeLimit2#2,"""/face2 Это потрясающе!<br>Вы отбросили врага!<br>Ещё немного!<br>Ещё чуть-чуть!"""
